ax,6,,,,,,,
tt,3,4,44,46,66,,,
tt,4,41,44,45,46,47,48,
tt,5,41,44,65,,,,
tt,6,8,39,41,64,65,,
tt,7,9,39,40,41,43,,
tt,8,9,37,38,39,40,,
tt,10,38,39,62,63,,,
tt,12,,,,,,,
tt,11,35,37,60,61,,,
tt,12,34,35,36,37,57,58,59
tt,13,14,29,32,33,34,36,
tt,14,27,29,30,,,,
tt,15,30,31,33,54,55,,
tt,16,19,28,30,31,52,53,
tt,17,18,26,28,51,52,,
tt,18,25,26,50,51,,,
tt,19,20,24,25,26,28,,
tt,23,27,28,,,,,
tt,22,24,25,49,,,,
ap,42,,,,,,,
tp,24,,,,,,,
tp,24,28,,,,,,
tp,24,,,,,,,
tp,26,49,50,,,,,
tp,28,51,,,,,,
tp,29,30,,,,,,
tp,30,52,,,,,,
tp,32,,,,,,,
tp,31,,,,,,,
tp,53,54,,,,,,
tp,36,42,,,,,,
tp,34,55,56,,,,,
tp,56,57,,,,,,
tp,37,59,60,,,,,
tp,37,,,,,,,
tp,38,61,,,,,,
tp,39,61,62,,,,,
tp,40,41,63,64,,,,
tp,42,43,,,,,,
tp,43,45,65,,,,,
tp,,,,,,,,,
tp,45,,,,,,,
tp,46,65,66,,,,,
tp,47,,,,,,,
tp,48,,,,,,,
tp,48,,,,,,,
tp,,,,,,,,,
bs,50,,,,,,,
bs,51,,,,,,,
bs,52,,,,,,,
bs,53,,,,,,,
bs,54,,,,,,,
bs,55,,,,,,,
bs,56,,,,,,,
bs,57,,,,,,,
bs,58,,,,,,,
bs,59,,,,,,,
bs,60,,,,,,,
bs,61,,,,,,,
bs,62,,,,,,,
bs,63,,,,,,,
bs,64,,,,,,,
bs,65,,,,,,,
bs,66,,,,,,,
bs,,,,,,,,,
