Id,Label,P,C,S,Pi,Psi
-1,bx,0,0,0,0,0
0,bp,0.217391304347826,0,0,0,0.217391304347826
1,ax,-0.749220529212881,0,0,0,-0.749220529212881
2,tt,-1.05022403008778,0,0,0,-1.05022403008778
3,tt,-1.04257958764013,0,0,0,-1.04257958764013
4,tt,-1.0439888437876,0,0,0,-1.0439888437876
5,tt,-1.03861167848495,0,0,0,-1.03861167848495
6,tt,-1.02915378273002,0,0,0,-1.02915378273002
7,tt,-1.01270954208915,0,0,0,-1.01270954208915
8,tt,-1.01507498316267,0,0,0,-1.01507498316267
9,tt,-0.994228701603803,0,0,0,-0.994228701603803
10,tt,-0.994612393709152,0,0,0,-0.994612393709152
11,tt,-0.977077980223443,0,0,0,-0.977077980223443
12,tt,-0.975775506646245,0,0,0,-0.975775506646245
13,tt,-0.982371034299067,0,0,0,-0.982371034299067
14,tt,-0.974992727775867,0,0,0,-0.974992727775867
15,tt,-0.960729736977816,0,0,0,-0.960729736977816
16,tt,-0.948813554066915,0,0,0,-0.948813554066915
17,tt,-0.87995884620414,0,0,0,-0.87995884620414
18,tt,-0.951880261914589,0,0,0,-0.951880261914589
19,tt,-0.947059260511881,0,0,0,-0.947059260511881
20,tt,-0.941498762878676,0,0,0,-0.941498762878676
21,tt,-0.9385545899034,0,0,0,-0.9385545899034
22,tt,-0.950346251259847,0,0,0,-0.950346251259847
23,tt,-0.94579807916034,0,0,0,-0.94579807916034
24,tt,-0.920834427030689,0,0,0,-0.920834427030689
25,ap,1.43882031816281,0.911986951832356,0,2.379098755355,-0.940278437192187
26,tp,1.60447210502164,0.982439815933012,16.6171639667784,2.56288901787608,-0.958416912854433
27,tp,1.6025457147472,0.982358940153302,16.6169326856089,2.56267803737196,-0.960132322624756
28,tp,1.60242437593139,0.97967315540496,16.6092299403641,2.55567163542828,-0.953247259496888
29,tp,1.6066397237602,0.974067225452018,16.5930406336883,2.54104745583135,-0.93440773207115
30,tp,1.61010378346191,0.968724300545666,16.5774649158219,2.52710937703634,-0.917005593574435
31,tp,1.60404884579074,0.977327761491799,16.6024759737416,2.54955321045695,-0.945504364666202
32,tp,1.6025670215818,0.973117307537645,16.5902791642719,2.5385694066408,-0.936002385059009
33,tp,1.59823771808067,0.977131040234268,16.6019096144113,2.54904002405883,-0.950802305978159
34,tp,1.59490986032817,0.96796280137891,16.5752346880475,2.52512285550093,-0.930212995172755
35,tp,1.5613932772168,0.958792888046143,16.5481316059919,2.50120131873676,-0.939808041519958
36,tp,1.5938643743033,0.975182139464912,16.5962708582767,2.54395593005357,-0.950091555750269
37,tp,1.59383092987041,0.978216639139949,16.6050370524899,2.55187202401248,-0.958041094142063
38,tp,1.58509780540565,0.978597038790521,16.6061373377523,2.55286437191109,-0.967766566505442
39,tp,1.57302675362742,0.976102483198805,16.5989348090544,2.54635682913157,-0.973330075504144
40,tp,1.56248013787743,0.969378014047033,16.5793785568021,2.52881471829625,-0.96633458041882
41,tp,1.57304534998847,0.981955292830082,16.6157764630466,2.56162504331065,-0.988579693322175
42,tp,1.56253716353022,0.977564414093276,16.6031585532837,2.55017056568171,-0.987633402151481
43,tp,1.55512742700004,0.972530832605862,16.5885756411089,2.53703947051897,-0.98191204351893
44,tp,1.54142481572934,0.97028292659804,16.5820231674664,2.53117536207463,-0.989750546345297
45,tp,1.51597862011899,0.942564581824253,16.4991039239145,2.45886656487164,-0.942887944752649
46,tp,1.52467216417316,0.964183823731927,16.5641164331291,2.51526464316753,-0.99059247899437
47,tp,1.54183780071061,0.975023286207308,16.5958121229557,2.54354152984018,-1.00170372912957
48,tp,1.53945305131659,0.980738242495476,16.6122889496768,2.55845012624582,-1.01899707492923
49,tp,1.53232290377992,0.980211705868971,16.6107775384408,2.55707655107542,-1.02475364729551
50,tp,1.52660408663279,0.976341205418167,16.5996260534287,2.54697958336486,-1.02037549673206
51,tp,1.523876779116,0.985147113572685,16.6248915733343,2.56995154046149,-1.0460747613455
52,tp,1.52608300601216,0.980662586437203,16.6120718487133,2.55825276241983,-1.03216975640767
53,tp,1.52422667793578,0.980020694818919,16.6102289245979,2.5565782608855,-1.03235158294972
54,tp,1.5262014807444,0.985113814452548,16.6247967369424,2.56986467310543,-1.04366319236102
55,tp,1.52396489344989,0.986675402210156,16.6292382848385,2.57393838433895,-1.04997349088906
56,tp,1.52240389338955,0.982225992150318,16.6165521284738,2.56233121615068,-1.03992732276113
57,tp,1.5227400246652,0.983681285875798,16.6207119537198,2.56612763832976,-1.04338761366455
58,tp,1.52435727767195,0.986262878603185,16.6280660981832,2.57286223473184,-1.0485049570599
59,tp,1.52354862110469,0.984972043819896,16.6243929208599,2.56949483630567,-1.04594621520098
60,tp,1.51956795233513,0.9905432602428,16.6401892771277,2.58402845877791,-1.06446050644278
61,tp,1.52336311522184,0.987910199150793,16.6327420894171,2.57715959694367,-1.05379648172183
62,bs,1.59015180706789,0.98819753686685,16.633556353902,2.57790917433759,-0.987757367269692
63,bs,1.58494068856289,0.988987835639441,16.6357940627142,2.57997082535403,-0.995030136791144
64,bs,1.59595811274847,0.985458300352416,16.625777671494,2.57076333286582,-0.974805220117348
65,bs,1.59327675831536,0.985289097169142,16.6252949024669,2.57032193281956,-0.977045174504193
66,bs,1.58676947999229,0.985906111423299,16.6270528713373,2.57193153681789,-0.9851620568256
