Id,Label,P,C,S,Pi,Psi
-1,bx,0,0,0,0,0
0,bp,0.217391304347826,0,0,0,0.217391304347826
1,ax,-0.710607408240733,0,0,0,-0.710607408240733
2,tt,-0.931577485887256,0,0,0,-0.931577485887256
3,tt,-0.933043127681207,0,0,0,-0.933043127681207
4,tt,-0.931628971231506,0,0,0,-0.931628971231506
5,tt,-0.929901016656196,0,0,0,-0.929901016656196
6,tt,-0.926460499744313,0,0,0,-0.926460499744313
7,tt,-0.919471392719883,0,0,0,-0.919471392719883
8,tt,-0.919467844856576,0,0,0,-0.919467844856576
9,tt,-0.908929510023641,0,0,0,-0.908929510023641
10,tt,-0.915691493250021,0,0,0,-0.915691493250021
11,tt,-0.906744033310321,0,0,0,-0.906744033310321
12,tt,-0.908879579206496,0,0,0,-0.908879579206496
13,tt,-0.914174177994146,0,0,0,-0.914174177994146
14,tt,-0.913278690542328,0,0,0,-0.913278690542328
15,tt,-0.899892838934179,0,0,0,-0.899892838934179
16,tt,-0.901778106446955,0,0,0,-0.901778106446955
17,tt,-0.883961116197776,0,0,0,-0.883961116197776
18,tt,-0.904351395947243,0,0,0,-0.904351395947243
19,tt,-0.922000852762223,0,0,0,-0.922000852762223
20,tt,-0.929638637399227,0,0,0,-0.929638637399227
21,tt,-0.932440506524243,0,0,0,-0.932440506524243
22,tt,-0.933705615005425,0,0,0,-0.933705615005425
23,tt,-0.929051187398583,0,0,0,-0.929051187398583
24,tt,-0.931948454964836,0,0,0,-0.931948454964836
25,tt,-0.83271164442614,0,0,0,-0.83271164442614
26,tt,-0.887002617071703,0,0,0,-0.887002617071703
27,ap,1.50723179394253,0.92690351812177,0,2.41801157556807,-0.910779781625543
28,tp,1.60989899463606,0.973751257999504,16.5921228975968,2.54022319209435,-0.930324197458288
29,tp,1.61585326300668,0.977802757903402,16.6038456215618,2.55079233275949,-0.934939069752805
30,tp,1.6045965442851,0.969471786152678,16.5796525520551,2.52905934142313,-0.924462797138033
31,tp,1.61385467237122,0.975234882286647,16.5964250143895,2.54409352015975,-0.930238847788534
32,tp,1.61869130380596,0.972945321298431,16.5897817179294,2.53812074644141,-0.919429442635448
33,tp,1.62779688712951,0.978487581129782,16.6058192855455,2.55257882990426,-0.924781942774748
34,tp,1.62965495657824,0.97341045074651,16.5911325215301,2.53933412881358,-0.909679172235348
35,tp,1.63696748193253,0.97974313814185,16.6094313966089,2.55585419927077,-0.918886717338242
36,tp,1.63998369256066,0.975173378438094,16.5962470838583,2.54393307517833,-0.903949382617673
37,tp,1.63985694474295,0.980544703543502,16.6117335288239,2.55794524152261,-0.918088296779654
38,tp,1.63998368199816,0.975173439605058,16.5962470761407,2.54393323474448,-0.903949552746319
39,tp,1.6451950398826,0.98303123901358,16.6188550918585,2.56443186222494,-0.919236822342338
40,tp,1.65675506269183,0.978813236969182,16.6067577553593,2.55342836771907,-0.896673305027239
41,tp,1.65615293428074,0.975272958619262,16.5965315180832,2.5441928498216,-0.888039915540859
42,tp,1.64959779483189,0.980820770527744,16.612528190803,2.55866541697828,-0.909067622146392
43,tp,1.65932810893225,0.9767224132913,16.600728465831,2.54797403967224,-0.888645930739989
44,tp,1.64905895211034,0.981194536919148,16.6135967685808,2.55964046070538,-0.910581508595044
45,tp,1.64325269135635,0.986513925089317,16.6287792540562,2.57351713925816,-0.93026444790181
46,tp,1.64544146643226,0.983551744957127,16.6203424673738,2.56578970516332,-0.920348238731067
47,tp,1.64305027850211,0.988101771401604,16.6332852451735,2.57765935113703,-0.934609072634914
48,tp,1.65085462222549,0.980570441641792,16.611806726889,2.5580123844543,-0.907157762228807
49,tp,1.64252096439261,0.989057606786807,16.635991342813,2.58015283722331,-0.937631872830694
50,tp,1.59037722856114,0.959295137315328,16.5496269911462,2.50251153552089,-0.912134306959744
51,tp,1.6339918182247,0.966413284091585,16.5706850212528,2.52108063248198,-0.887088814257279
52,tp,1.64454758511945,0.987961444375424,16.6328873159672,2.57729328027093,-0.932745695151479
53,bs,1.61110987413396,0.985570124889101,16.6260958041779,2.57105504933776,-0.959945175203798
54,bs,1.6124941006405,0.984671028062032,16.6235352757507,2.56870957702818,-0.956215476387675
55,bs,1.618705093015,0.983387073024924,16.6198716808197,2.56536012578375,-0.946655032768753
56,bs,1.61444587222899,0.98694253768562,16.6299969312719,2.5746352601834,-0.960189387954405
57,bs,1.61545855814132,0.987691223171618,16.6321212282105,2.57658835469238,-0.961129796551069
58,bs,1.61963232351325,0.988427367406758,16.634207452662,2.57850873286234,-0.958876409349086
59,bs,1.62320569684158,0.989158696770938,16.6362773883263,2.5804165504869,-0.957210853645319
60,bs,1.62880321757766,0.990077789660749,16.6388751725904,2.58281418649015,-0.954010968912487
61,bs,1.62445303809509,0.993801260873462,16.6493585541932,2.59252759928621,-0.968074561191117
62,bs,1.6281239748574,0.990972797526225,16.6414009713686,2.58514899193282,-0.957025017075424
63,bs,1.63403717511815,0.9893235564128,16.6367439235463,2.58084661954433,-0.946809444426178
64,bs,1.64630868670314,0.986207576488745,16.6279080129959,2.57271796820328,-0.926409281500146
65,bs,1.64636857041934,0.985587177448991,16.6261461728381,2.57109953432072,-0.924730963901376
66,bs,1.63907460544525,0.98813860014465,16.6333879612596,2.57775542621416,-0.938680820768908
67,bs,1.63334483079634,0.990673231700466,16.6405566415809,2.58436751509066,-0.951022684294319
