ax,8,,,,,,
tt,3,4,48,49,67,68,
tt,4,46,48,49,50,51,
tt,5,8,45,46,47,48,50
tt,7,8,43,44,45,47,66
tt,7,11,41,43,64,65,
tt,9,10,41,43,44,,
tt,44,47,,,,,
tt,10,16,18,34,37,,
tt,12,15,37,38,39,40,41
tt,12,40,41,63,64,,
tt,13,39,40,62,63,,
tt,14,39,60,61,62,,
tt,14,15,38,39,59,60,
tt,16,36,37,38,58,,
tt,18,34,35,36,37,,
tt,18,19,32,33,35,56,57
tt,32,34,35,,,,
tt,20,30,31,32,33,55,
tt,21,28,29,30,31,,
tt,22,29,53,54,,,
tt,24,25,26,27,29,52,53
ap,42,,,,,,
tp,25,26,,,,,
tp,28,29,,,,,
tp,27,,,,,,
tp,52,,,,,,
tp,29,30,,,,,
tp,31,,,,,,
tp,31,32,,,,,
tp,32,54,55,,,,
tp,33,35,,,,,
tp,35,55,56,,,,
tp,35,37,,,,,
tp,36,57,,,,,
tp,37,38,57,58,,,
tp,38,42,,,,,
tp,39,58,,,,,
tp,60,,,,,,
tp,41,63,,,,,
tp,42,64,,,,,
tp,44,,,,,,
tp,44,45,65,66,,,
tp,47,,,,,,
tp,46,47,66,67,,,
tp,48,67,,,,,
tp,50,,,,,,
tp,49,51,68,,,,
tp,51,68,69,,,,
tp,51,,,,,,
tp,,,,,,,,
bs,53,,,,,,
bs,54,,,,,,
bs,55,,,,,,
bs,56,,,,,,
bs,57,,,,,,
bs,58,,,,,,
bs,59,,,,,,
bs,60,,,,,,
bs,61,,,,,,
bs,62,,,,,,
bs,63,,,,,,
bs,64,,,,,,
bs,65,,,,,,
bs,66,,,,,,
bs,67,,,,,,
bs,68,,,,,,
bs,69,,,,,,
bs,,,,,,,,
