Source,Target,flow,value
1,19,u,0.131555484550054
1,23,u,0.019234037539757
-1,1,u,0.150789522089811
2,3,u,0.00399332063238789
5,2,u,0.0075861059179323
2,24,u,1.7040302265281e-05
2,25,u,0.000697053660848779
2,51,u,0.00287869132243102
4,3,u,0.00142886595752634
24,3,u,0.00038229176097353
3,25,u,0.000297721597610012
3,51,u,0.0024793592591922
3,52,u,0.00302739749408554
6,4,u,0.00758660570520653
24,4,u,0.000239405165220852
26,4,u,0.000661501679395471
4,29,u,0.000511236760451528
4,52,u,0.00317028408983822
4,53,u,0.00337712574200708
5,6,u,0.00256395488758732
8,5,u,0.0108933967345324
5,24,u,0.000775650894058533
5,26,u,0.000353554379883914
27,5,u,0.000385869344929102
7,6,u,0.00552890096271952
6,26,u,9.71588911251597e-05
27,6,u,0.000642264833687811
6,29,u,0.0012698973309722
30,6,u,0.000218541243308268
8,7,u,0.00792845065940018
7,30,u,0.000334348852963684
32,7,u,0.0016541708206693
7,54,u,0.00313480961765467
7,55,u,0.000584562046731474
9,8,u,0.0188438862842888
8,27,u,0.000703470328524158
28,8,u,0.000947299602342611
8,30,u,0.0011271939189037
32,8,u,0.000861325754729281
10,9,u,0.019990907945225
9,28,u,0.000937089026086246
31,9,u,0.000813130238848947
9,32,u,0.00102306287369962
11,10,u,0.0304831923482045
10,31,u,0.00118596055567353
10,32,u,0.00302215366822209
34,10,u,0.00183524416124614
35,10,u,0.000843915151519559
10,55,u,0.00526088653562287
10,56,u,0.00370244295622695
11,12,u,0.0101876240557439
17,11,u,0.0423617721151175
33,11,u,0.00172652344570614
11,34,u,0.00121307507357433
11,35,u,0.00220440408330091
12,13,u,0.00167882703834921
12,35,u,0.0011856416777265
37,12,u,0.000184471657264007
12,57,u,0.00445175940412335
12,58,u,0.00305586759280914
14,13,u,0.00344136659200345
37,13,u,0.00035235436109895
38,13,u,0.000662250642022144
13,58,u,0.00288798488897424
13,59,u,0.00324681374450004
15,14,u,0.0118228450029876
38,14,u,0.000318113982821799
14,40,u,0.00100007631144963
14,59,u,0.00359095040370039
14,60,u,0.00410856567865641
16,15,u,0.0303459687576846
15,38,u,0.000864170517476959
39,15,u,0.000936356012702833
15,40,u,0.00218236081174839
41,15,u,0.00230746043955485
15,61,u,0.0051756302863804
15,62,u,0.00591173347513134
15,63,u,0.00529095913580679
15,64,u,0.0023420859804113
17,16,u,0.008618042856535
18,16,u,0.0308900989976015
16,41,u,0.000727136436213582
43,16,u,0.000629790445364709
16,64,u,0.00537668285617978
16,65,u,0.00368814424942365
19,17,u,0.0595937547324576
17,33,u,0.00250965376580563
17,36,u,0.00345183145383876
17,39,u,0.00296004514871915
17,41,u,0.00158894072186708
42,17,u,0.000197300596360028
17,43,u,0.000232013840288792
44,17,u,0.00193124457335299
19,18,u,0.0373216985913911
18,43,u,0.00245921945439545
18,44,u,0.000295961040753667
45,18,u,3.76758372584884e-05
18,66,u,0.00371409493589896
19,20,u,0.012590224637041
19,21,u,0.0113364037010472
19,44,u,0.00402813089989276
19,45,u,0.00369449402188065
19,46,u,0.00299077796634237
21,20,u,0.0012538209359938
20,22,u,0.00374544414539024
20,46,u,0.00173175550263829
20,47,u,0.000371901458387747
20,67,u,0.00499902032187234
20,68,u,0.00299592414474659
21,22,u,0.00499926508138404
21,47,u,0.000497283551987149
21,48,u,0.00102826781648724
21,50,u,0.000436460076849299
21,68,u,0.00312130623834594
22,48,u,0.000528341308348823
22,49,u,0.001360329738255
22,68,u,0.00262137973020753
22,69,u,0.00423465844996342
42,23,u,0.00595678349392287
42,23,j,0.0116998751688529
23,0,u,0.0251908210336799
23,0,j,0.0116998794727941
24,25,u,0.000402070319718052
25,24,j,0.000101727013765023
26,24,u,0.000231076049588189
24,26,j,0.000101722046416299
25,51,u,0.00139684557817671
51,25,j,0.00010172746230264
27,26,u,0.000441864457974371
26,27,j,0.000101744442196382
28,27,u,0.00100462628295079
27,28,j,0.000191322722099859
27,30,u,0.000238097974883915
30,27,j,8.96745269603616e-05
31,28,u,0.0010345780005522
28,31,j,0.000268857932443129
28,32,u,1.97411413455399e-05
32,28,j,7.74567485730613e-05
30,29,u,0.000921791517351574
29,30,j,0.000136665427899146
29,53,u,0.00184242602354689
53,29,j,0.000117374828534477
29,54,u,0.000860499585228765
54,29,j,1.93177068265102e-05
32,30,u,0.00122298311648916
30,32,j,0.000203351655735531
30,54,u,0.00178229110258034
54,30,j,0.000156119965136009
31,32,u,0.00105431914189774
32,31,j,0.00034621042341243
34,31,u,0.00171606682562523
31,34,j,0.000615125447413631
32,55,u,0.00138079713327766
55,32,j,0.000220559567955511
33,34,u,0.00139566915657882
34,33,j,0.00117186411230927
33,36,u,2.76102694991438e-05
36,33,j,0.00123979784666328
42,33,u,0.000640149105978447
33,42,j,0.00241168769468064
34,35,u,0.000425492130361481
35,34,j,0.000486478572965054
36,34,u,0.00136805888707968
36,34,j,7.02985253700057e-05
36,35,u,0.00179355101744116
35,36,j,0.000415209621791355
35,56,u,0.00283324840792175
56,35,j,0.000399371847448846
35,57,u,0.0019319253493888
57,35,j,0.000502259239721546
36,37,u,0.000793014112287814
37,36,j,0.000593104406862499
39,36,u,0.000475182293470695
