ax,15,,,,,,,,
tt,3,4,5,71,73,,,,
tt,4,72,73,92,,,,,
tt,5,70,71,72,91,92,,,
tt,6,9,68,69,70,71,,,
tt,7,68,70,90,91,,,,
tt,8,9,63,68,89,90,,,
tt,9,11,63,65,88,89,,,
tt,10,65,66,67,69,,,,
tt,11,15,59,60,61,62,63,64,66
tt,12,61,63,88,,,,,
tt,14,60,61,87,88,,,,
tt,14,15,18,54,55,57,86,87,
tt,15,57,58,60,87,,,,
tt,16,55,56,58,59,,,,
tt,17,19,51,53,55,56,,,
tt,18,19,52,53,54,55,,,
tt,52,54,85,86,,,,,
tt,20,49,50,51,52,53,82,83,84
tt,21,46,48,49,81,82,,,
tt,22,23,44,45,46,47,48,80,81
tt,23,24,26,41,43,44,45,,
tt,24,25,42,43,44,79,80,,
tt,25,40,41,42,43,,,,
tt,26,28,29,38,39,40,42,77,78
tt,27,38,39,40,41,43,,,
tt,28,32,34,38,,,,,
tt,29,32,34,37,38,39,,,
tt,30,37,39,76,77,,,,
tt,31,32,35,36,37,75,76,,
tt,32,35,36,,,,,,
tt,34,35,37,,,,,,
ap,51,,,,,,,,
tp,35,37,38,,,,,,
tp,36,37,,,,,,,
tp,74,75,,,,,,,
tp,39,76,,,,,,,
tp,39,40,,,,,,,
tp,40,77,,,,,,,
tp,41,42,,,,,,,
tp,43,,,,,,,,
tp,43,78,79,,,,,,
tp,44,45,,,,,,,
tp,45,80,,,,,,,
tp,47,,,,,,,,
tp,48,49,81,82,,,,,
tp,48,50,,,,,,,
tp,50,,,,,,,,
tp,50,82,,,,,,,
tp,50,51,,,,,,,
tp,51,53,,,,,,,
tp,54,84,85,,,,,,
tp,55,56,,,,,,,
tp,55,57,86,,,,,,
tp,56,57,,,,,,,
tp,57,58,,,,,,,
tp,58,60,87,,,,,,
tp,59,60,,,,,,,
tp,60,62,,,,,,,
tp,61,62,64,,,,,,
tp,63,,,,,,,,
tp,64,,,,,,,,
tp,65,66,,,,,,,
tp,66,,,,,,,,
tp,65,68,89,,,,,,
tp,67,,,,,,,,
tp,69,,,,,,,,
tp,69,70,90,,,,,,
tp,71,,,,,,,,
tp,71,91,,,,,,,
tp,73,,,,,,,,
tp,73,92,,,,,,,
tp,73,,,,,,,,
bs,75,,,,,,,,
bs,76,,,,,,,,
bs,77,,,,,,,,
bs,78,,,,,,,,
bs,79,,,,,,,,
bs,80,,,,,,,,
bs,81,,,,,,,,
bs,82,,,,,,,,
bs,83,,,,,,,,
bs,84,,,,,,,,
bs,85,,,,,,,,
bs,86,,,,,,,,
bs,87,,,,,,,,
bs,88,,,,,,,,
bs,89,,,,,,,,
bs,90,,,,,,,,
bs,91,,,,,,,,
bs,92,,,,,,,,
bs,,,,,,,,,,
