ax,21,,,,,,,,
tt,3,5,30,60,,,,,
tt,4,30,,,,,,,
tt,5,6,30,31,32,,,,
tt,6,30,32,60,61,,,,
tt,7,8,31,32,33,34,61,62,
tt,8,12,33,35,,,,,
tt,9,34,35,63,,,,,
tt,10,35,36,63,64,,,,
tt,11,13,36,37,38,64,65,,
tt,14,15,38,39,41,65,66,,
tt,13,35,36,,,,,,
tt,14,36,37,38,,,,,
tt,15,20,39,40,41,43,45,,
tt,16,41,42,43,66,67,,,
tt,17,20,42,43,44,68,69,,
tt,18,44,46,47,69,70,,,
tt,19,47,70,71,,,,,
tt,24,47,48,50,72,,,,
tt,21,24,43,44,45,46,48,49,51
tt,22,45,51,53,55,,,,
tt,23,26,27,55,58,,,,
tt,25,26,52,54,74,75,,,
tt,25,48,49,50,52,73,,,
tt,52,73,74,,,,,,
tt,27,54,56,57,75,76,,,
tt,28,57,58,59,77,,,,
tt,59,78,,,,,,,
ap,45,,,,,,,,
tp,32,60,,,,,,,
tp,32,33,,,,,,,
tp,34,61,,,,,,,
tp,34,35,,,,,,,
tp,35,62,63,,,,,,
tp,36,63,,,,,,,
tp,37,38,64,,,,,,
tp,38,39,40,,,,,,
tp,39,65,,,,,,,
tp,40,41,,,,,,,
tp,41,45,,,,,,,
tp,42,43,66,,,,,,
tp,43,67,68,,,,,,
tp,44,45,,,,,,,
tp,46,47,69,,,,,,
tp,51,,,,,,,,
tp,47,48,,,,,,,
tp,48,70,71,72,,,,,
tp,49,50,,,,,,,
tp,51,52,,,,,,,
tp,72,73,,,,,,,
tp,52,53,,,,,,,
tp,53,54,74,,,,,,
tp,54,55,,,,,,,
tp,55,56,75,,,,,,
tp,56,,,,,,,,
tp,57,58,,,,,,,
tp,58,59,76,77,,,,,
tp,,,,,,,,,,
tp,77,78,,,,,,,
bs,61,,,,,,,,
bs,62,,,,,,,,
bs,63,,,,,,,,
bs,64,,,,,,,,
bs,65,,,,,,,,
bs,66,,,,,,,,
bs,67,,,,,,,,
bs,68,,,,,,,,
bs,69,,,,,,,,
bs,70,,,,,,,,
bs,71,,,,,,,,
bs,72,,,,,,,,
bs,73,,,,,,,,
bs,74,,,,,,,,
bs,75,,,,,,,,
bs,76,,,,,,,,
bs,77,,,,,,,,
bs,78,,,,,,,,
bs,,,,,,,,,,
