Source,Target,flow,value
1,16,u,0.133930566040466
1,23,u,0.0181237437146021
-1,1,u,0.152054309755068
2,3,u,0.00484293899663779
5,2,u,0.00585969143233545
47,2,u,2.938161673125e-05
2,48,u,0.00108509354793771
49,2,u,0.000337312687569291
2,50,u,0.000307017988393898
51,2,u,8.66479633279127e-06
4,3,u,0.00241388755566341
47,3,u,0.000513675516395029
3,48,u,0.000600799648273931
3,69,u,0.00324779819210392
3,70,u,0.00392190422831886
5,4,u,0.00828874287330983
45,4,u,0.000353643130496995
47,4,u,0.000272286760828688
4,68,u,0.00301159826130184
4,69,u,0.00348918694767026
6,5,u,0.0149078764460338
5,45,u,0.000475231156833988
46,5,u,0.000521032998611259
5,47,u,0.000556587526502295
5,49,u,0.000248656455664253
7,6,u,0.00500457856697767
8,6,u,0.0153791196972601
44,6,u,0.00012060717931206
6,45,u,0.00196601880143739
6,46,u,0.000969754645992138
6,67,u,0.00266065555008663
8,7,u,0.0103745411302825
41,7,u,0.000969927646588165
7,44,u,0.000379850677385685
7,66,u,0.0027989261257237
7,67,u,0.00316111340678442
10,8,u,0.0256915987145738
8,41,u,6.75264664400821e-05
43,8,u,0.00154689336982243
8,44,u,0.00141730479041393
9,11,u,0.0238051878714582
9,14,u,0.00476656751194282
16,9,u,0.031545578765803
32,9,u,0.000303438776079323
35,9,u,0.000220931992241935
9,38,u,0.00142299553473015
9,42,u,0.00207519861599361
11,10,u,0.0187334236027339
12,10,u,0.0160648414836264
39,10,u,0.000377400445259468
10,40,u,0.000296741297897718
10,41,u,0.00263668633789749
10,64,u,0.00246754067962285
10,65,u,0.0040830985016282
11,12,u,0.00266858211910748
38,11,u,0.000957523252415671
11,39,u,0.00149594191501388
11,40,u,0.00217008365817115
42,11,u,0.000305320171152212
14,12,u,0.0217072024786229
12,37,u,4.78944339646237e-05
38,12,u,0.00122438146432642
12,39,u,0.00122908370310313
12,63,u,0.00418432161337754
12,64,u,0.00407402482798549
14,13,u,0.0107313019589624
15,13,u,0.0045998791793328
36,13,u,0.000494090161646987
13,37,u,0.00114548448593066
13,60,u,0.00410302246593672
13,61,u,0.00553619437894524
13,62,u,0.00504056996913045
14,15,u,0.00613142277962964
16,14,u,0.0363121462777458
33,14,u,0.000537618183703481
35,14,u,0.000697588743436173
14,36,u,0.000579040034249223
14,37,u,0.00221861468182687
14,38,u,0.000946338783535827
17,15,u,0.0141036413326919
15,34,u,0.000796815573813525
36,15,u,3.41022437137184e-05
15,58,u,0.00472647237678721
15,59,u,0.00558298884223203
15,60,u,0.00456301038386999
16,17,u,0.0283399277246835
16,18,u,0.0266221151118174
16,30,u,0.00223245673150441
16,32,u,0.002851119100501
16,33,u,0.00309359644407108
16,35,u,0.00293362588433839
18,17,u,0.00171781261286608
17,31,u,0.00220743074790297
17,33,u,0.000259603671602715
17,34,u,0.00220717970708275
17,56,u,0.00571620826771122
17,57,u,0.00556367661055841
18,20,u,0.0208922324832849
18,28,u,0.00163122785326579
30,18,u,0.000429754779677305
18,31,u,0.00237921200918958
18,33,u,0.000431384932889323
20,19,u,0.00672408904085375
19,21,u,0.00171444847472946
19,22,u,0.00473408918035867
19,24,u,0.000831554174357096
25,19,u,0.000492638138729351
26,19,u,6.33646498614304e-05
20,21,u,0.00843853751558321
20,25,u,0.000179770765356002
20,26,u,0.000609044254223967
27,20,u,7.96180835075155e-05
28,20,u,0.000457995395062705
20,29,u,0.00159356808882456
20,54,u,0.00388483629701408
21,22,u,0.00301964070562921
21,24,u,0.00066010932688414
26,21,u,0.000234809497334343
21,53,u,0.00366706290967773
21,54,u,0.00304098254545577
22,24,u,0.00035814525632123
22,52,u,0.00403048579055252
22,53,u,0.00336509883911482
32,23,u,0.00698460575599245
32,23,j,0.0116187400435353
23,0,u,0.0251083494705945
23,0,j,0.0116187325228413
26,24,u,0.000283696200730395
24,26,j,0.0006467234807983
24,52,u,0.00213350495829342
52,24,j,0.000646723789483741
26,25,u,2.71739062981469e-05
26,25,j,0.00064672473980095
27,25,u,6.8691794522481e-05
25,27,j,0.000215582145855832
28,25,u,0.000217001672552633
25,28,j,0.000431135980281031
28,27,u,0.000148309878030152
27,28,j,0.000215577751549482
28,29,u,0.00072236266377326
29,28,j,0.001335587839966
28,30,u,0.000126658732733323
28,30,j,0.00309630253712118
31,28,u,4.11004888861035e-05
31,28,j,0.00111397157520181
31,29,u,0.000763463152659363
29,31,j,0.00022041904677989
29,54,u,0.001058453530807
54,29,j,0.000968071091841175
29,55,u,0.00202094037445027
55,29,j,0.00058793591631893
30,32,u,0.00192936068456058
30,32,j,0.0030962874622606
33,31,u,0.000832017714392019
31,33,j,0.000968369017328376
31,55,u,0.00278440352710963
55,31,j,0.000808342059332097
31,56,u,0.00182969330282979
56,31,j,0.0010536161309601
35,32,u,0.00210034043505139
35,32,j,0.00441458087638535
42,32,u,0.000407224311958473
42,32,j,0.00410782445287797
33,34,u,0.000785615785012158
34,33,j,0.00106344426068365
33,35,u,0.000828797185520637
33,35,j,0.00192238217392215
33,36,u,0.000800536179935396
33,36,j,0.000109461394127822
34,36,u,1.49203949232374e-05
34,36,j,0.00117421251496659
34,57,u,0.00171182230493851
57,34,j,0.00108705705934341
34,58,u,0.00206286836604634
58,34,j,0.00115061880333072
36,35,u,2.82610055852415e-05
36,35,j,0.00181494007315914
35,38,u,0.000771822904715342
38,35,j,0.000677307099439104
36,37,u,0.000838043198162431
37,36,j,0.000531245765835223
38,37,u,3.79592878618476e-05
37,38,j,0.00167278063863782
37,62,u,0.00199622829946613
62,37,j,0.00124078946448472
37,63,u,0.00229176778828091
63,37,j,0.000963260176904417
38,42,u,0.000921293218377576
38,42,j,0.000995512726695837
39,40,u,0.000838062290309154
39,40,j,0.000799533495707296
39,64,u,0.00150956288254865
64,39,j,0.000799564478713322
40,41,u,0.00133801352558975
41,40,j,0.000460354432047433
42,40,u,0.000793387031674147
40,42,j,0.00177422283583962
40,43,u,0.000697173287912643
40,43,j,0.000438261584998922
40,65,u,0.00206308746455005
65,40,j,0.000952465081440144
43,41,u,0.000640840237677105
41,43,j,0.000899882136353307
41,44,u,0.000671340859076224
44,41,j,0.000470646869847068
41,65,u,0.0007250739389603
65,41,j,0.000492568130192839
41,66,u,0.00231672412298028
66,41,j,0.000397170364705659
42,43,u,0.00149056031958679
43,42,j,0.00133816572800397
44,46,u,0.000606916908929599
46,44,j,0.000245381075711173
44,67,u,0.001740972238635
67,44,j,0.000225187060428034
46,45,u,0.000605831351306823
45,46,j,0.000117115474651553
45,47,u,5.13661105745849e-05
47,45,j,5.60426109699804e-06
45,67,u,0.000528223978398583
45,67,j,0.000137914604355674
45,68,u,0.00211384809010874
68,45,j,0.000249374635331278
46,49,u,0.000449807205003655
49,46,j,0.000128300889023673
49,47,u,0.000207390256877753
49,47,j,5.61801170444472e-06
50,48,u,0.000452113908282668
48,50,j,0.000133909307357286
48,70,u,0.00213800710449452
70,48,j,0.000133909823904273
49,51,u,0.000153760716221394
51,49,j,0.00013390686896293
51,50,u,0.000145095919888735
50,51,j,0.000133909543228523
53,52,u,0.000558715349761144
53,52,j,0.000239954486853825
52,71,u,0.0033216209985873
71,52,j,0.000406769485036814
52,-252,u,0.00340108510001978
54,53,u,0.000267497380936898
53,54,j,0.00030854817650209
53,72,u,0.00332987787567726
72,53,j,0.000548501726926904
53,-253,u,0.00341106590429105
54,55,u,0.000962486843643271
54,55,j,0.000381992066142585
54,73,u,0.00333383103894242
73,54,j,0.00104151850744542
54,-254,u,0.00342045710975427
56,55,u,0.00095471022427984
56,55,j,0.000247295975802718
55,74,u,0.00331960709544033
74,55,j,0.000766978530254913
55,-255,u,0.00340293387404268
57,56,u,0.000164272927271145
57,56,j,0.000129556543625323
56,75,u,0.00333371611353306
75,56,j,0.00117134849990098
56,-256,u,0.00342174815999926
57,58,u,0.000351046061107835
58,57,j,6.31838982214211e-05
57,76,u,0.00333614379226124
76,57,j,0.00115342767073831
57,-257,u,0.0034240361348567
58,59,u,0.000393992148139707
59,58,j,0.000363851325500735
58,77,u,0.00333095591943699
77,58,j,0.000849946060216543
58,-258,u,0.00341543873636468
60,59,u,0.000750743374387179
60,59,j,0.000149323846527872
59,78,u,0.00332513337537585
78,59,j,0.000214528865037252
59,-259,u,0.00340259098938306
60,61,u,0.00116117070411431
60,61,j,0.000429717792104467
60,79,u,0.0033362281050466
79,60,j,0.000579040847608511
60,-260,u,0.00341789066625862
62,61,u,1.80959513613802e-05
61,62,j,0.000644644792982883
61,80,u,0.00331906794685766
80,61,j,0.000214928989737564
61,-261,u,0.00339639308756327
62,63,u,0.000295539488814779
62,63,j,0.000278812261668173
62,81,u,0.00331933537471035
81,62,j,0.000874948834009012
62,-262,u,0.00340382745371007
63,64,u,5.64537661484672e-05
63,64,j,0.000268467012400742
63,82,u,0.00331496779605785
82,63,j,0.000952917378585254
63,-263,u,0.00340020732826691
64,65,u,0.00139158687231055
64,65,j,0.000652962843988381
64,83,u,0.0033141335039473
83,64,j,0.00118403660658133
64,-264,u,0.00340186178004761
65,66,u,0.00159165018401998
65,66,j,9.65827248898391e-05
65,84,u,0.00329356818071122
84,65,j,0.000888692865764203
65,-265,u,0.0033776284127179
66,67,u,9.5588974730951e-05
67,66,j,0.000300506589053184
