Id,Label,P,C,S,Pi,Psi
-1,bx,0,0,0,0,0
0,bp,0.217391304347826,0,0,0,0.217391304347826
1,ax,-0.74950033594886,0,0,0,-0.74950033594886
2,tt,-0.982704476834969,0,0,0,-0.982704476834969
3,tt,-0.979506018393447,0,0,0,-0.979506018393447
4,tt,-0.975723567386331,0,0,0,-0.975723567386331
5,tt,-0.964501174316594,0,0,0,-0.964501174316594
6,tt,-0.964206157373772,0,0,0,-0.964206157373772
7,tt,-0.95065978621008,0,0,0,-0.95065978621008
8,tt,-0.957361377562736,0,0,0,-0.957361377562736
9,tt,-0.950833324889999,0,0,0,-0.950833324889999
10,tt,-0.959349546510446,0,0,0,-0.959349546510446
11,tt,-0.964448596184701,0,0,0,-0.964448596184701
12,tt,-0.960009319424615,0,0,0,-0.960009319424615
13,tt,-0.957011647013414,0,0,0,-0.957011647013414
14,tt,-0.928752209114343,0,0,0,-0.928752209114343
15,tt,-0.87911838051646,0,0,0,-0.87911838051646
16,tt,-0.953420025793545,0,0,0,-0.953420025793545
17,tt,-0.984188037455062,0,0,0,-0.984188037455062
18,tt,-0.992243139783978,0,0,0,-0.992243139783978
19,tt,-0.995281465672094,0,0,0,-0.995281465672094
20,tt,-0.984732532424349,0,0,0,-0.984732532424349
21,tt,-0.99589289994298,0,0,0,-0.99589289994298
22,tt,-1.01837548129752,0,0,0,-1.01837548129752
23,tt,-1.00525560082869,0,0,0,-1.00525560082869
24,tt,-1.02075197759607,0,0,0,-1.02075197759607
25,tt,-1.03330702592378,0,0,0,-1.03330702592378
26,tt,-1.02857601715133,0,0,0,-1.02857601715133
27,tt,-1.03933944703385,0,0,0,-1.03933944703385
28,tt,-1.04344952367865,0,0,0,-1.04344952367865
29,tt,-1.04196081462649,0,0,0,-1.04196081462649
30,tt,-1.0383197831114,0,0,0,-1.0383197831114
31,tt,-1.04529468035993,0,0,0,-1.04529468035993
32,tt,-1.04752376384579,0,0,0,-1.04752376384579
33,tt,-1.04637424936018,0,0,0,-1.04637424936018
34,ap,1.43923495944296,0.916762039257736,0,2.39155551751328,-0.952320558070323
35,tp,1.52825182345096,0.986724307494494,16.6293771543858,2.57406596346809,-1.04581414001712
36,tp,1.5284465393447,0.986614256468464,16.6290645509056,2.57377887355026,-1.04533233420557
37,tp,1.52808903954227,0.986823204048252,16.6296580280361,2.57432395473373,-1.04623491519146
38,tp,1.52896925584358,0.986305670050381,16.6281876927703,2.57297386470479,-1.04400460886121
39,tp,1.52890035104332,0.986204198794016,16.6278992650643,2.57270915681699,-1.04380880577367
40,tp,1.52795177840612,0.986996955825371,16.6301513867926,2.57477722068874,-1.04682544228263
41,tp,1.52949600984321,0.985409762110317,16.6256393604278,2.57063671123912,-1.04114070139592
42,tp,1.53046457685117,0.983439444848994,16.6200213732279,2.56549674806898,-1.03503217121781
43,tp,1.53185910245976,0.980775250757015,16.612395101431,2.55854666963254,-1.02668756717277
44,tp,1.5295796324086,0.984296129120578,16.6224663567516,2.56773157881975,-1.03815194641116
45,tp,1.53102485907664,0.976163782784981,16.5991130857511,2.54651674125408,-1.01549188217745
46,tp,1.5223575771884,0.967866525615781,16.5749510487806,2.52487170108718,-1.00251412389878
47,tp,1.53720871924728,0.980416145524476,16.611364535625,2.55760987244475,-1.02040115319747
48,tp,1.51062238418929,0.960606600988144,16.5535264039487,2.50593274849484,-0.995310364305551
49,tp,1.5421702418638,0.974835618841168,16.5952683647257,2.54305196231258,-1.00088172044879
50,tp,1.52998643639699,0.963163472897441,16.5611024363196,2.51260285574231,-0.982616419345319
51,tp,1.50721049591583,0.950529895313073,16.5233410562262,2.47964566414405,-0.972435168228223
52,tp,1.54347051516137,0.963107945725423,16.5609383987956,2.51245800210644,-0.968987486945071
53,tp,1.55569983719464,0.971238213691158,16.5848109541229,2.53366741783231,-0.977967580637668
54,tp,1.5699173918236,0.978666819298885,16.6063348156238,2.55304640820039,-0.983129016376787
55,tp,1.57354217552991,0.969931246439608,16.580995322874,2.53025793466459,-0.956715759134688
56,tp,1.58276211691023,0.976535135520573,16.6001874058061,2.54748548848152,-0.964723371571287
57,tp,1.595583499619,0.977042002604976,16.6016496784749,2.54880775175207,-0.953224252133078
58,tp,1.59460493209516,0.970042720031299,16.5813216743575,2.53054873562695,-0.935943803531783
59,tp,1.60412008236915,0.980435400775764,16.6114203690033,2.55766010358488,-0.953540021215725
60,tp,1.6032193861318,0.984243799392538,16.6223165959299,2.56759506635036,-0.964375680218558
61,tp,1.59984364731463,0.986808494435635,16.6296166190139,2.5742855817932,-0.97444193447857
62,tp,1.59470779035598,0.989543889681193,16.6373665881037,2.58142140255361,-0.986713612197632
63,tp,1.60106851555587,0.986012465432916,16.6273542212073,2.57220898233551,-0.971140466779637
64,tp,1.59829812116305,0.987633013868687,16.631956199385,2.57643650418633,-0.978138383023277
65,bs,1.50680171235809,0.998450722375104,16.6623575411092,2.60465664131844,-1.09785492896036
66,bs,1.51615443919302,0.992779680106256,16.6464887910857,2.58986260333767,-1.07370816414465
67,bs,1.52034855141407,0.990581464078829,16.6402970853225,2.58412812105769,-1.06377956964362
68,bs,1.5162662818794,0.990676652402519,16.6405656781456,2.58437643867008,-1.06811015679068
69,bs,1.52227631868408,0.988417086536579,16.6341783059557,2.57848191317441,-1.05620559449032
70,bs,1.52745085172771,0.98743775127355,16.6314023596038,2.57592712299823,-1.04847627127052
