Source,Target,flow,value
1,7,u,0.0658515400270068
1,30,u,0.0152497455736468
-1,1,u,0.0811012856006535
3,2,u,0.00203360783370266
4,2,u,0.00148466267032865
2,55,u,7.88618332309365e-05
2,56,u,0.000257073210570358
2,77,u,0.00129082858993663
2,78,u,0.00189150687029334
3,4,u,0.000548945163374004
5,3,u,0.00323960780431842
3,53,u,8.54804719645941e-05
54,3,u,0.000171082275262746
3,55,u,0.000282222616601224
3,56,u,0.000460433993940645
5,4,u,0.00378855296769243
4,53,u,3.05859556271937e-05
4,55,u,0.000227328100263824
4,76,u,0.00115562654787906
4,77,u,0.00143929485696952
6,5,u,0.0100061445383022
52,5,u,0.00014063731520495
5,53,u,0.000409441252396414
5,54,u,0.000152878505169118
5,75,u,0.00102181947928335
5,76,u,0.00153448184464828
7,6,u,0.0243826672566829
6,8,u,0.00971917638380426
6,50,u,0.00138553885540427
6,51,u,0.000389396407433784
6,52,u,0.000859977138625245
6,75,u,0.00202243393311354
7,9,u,0.0386412096372224
7,51,u,0.00282766313310208
8,10,u,0.00599474206388528
8,50,u,0.000413621217023863
8,74,u,0.00226029680816278
8,75,u,0.00105051629473314
9,10,u,0.00145537606715007
9,11,u,0.0332787128288732
9,48,u,0.00260385415143984
9,49,u,0.00233972442038013
51,9,u,0.00103645783062016
10,49,u,0.00219418681366514
50,10,u,0.000185852989364665
10,73,u,0.00378096170496147
10,74,u,0.00166082260177425
11,12,u,0.0155858777853533
11,15,u,0.0185270604024337
11,46,u,0.000877938635040865
48,11,u,0.000724017131447496
49,11,u,0.000988146862507167
12,13,u,0.00936448543474677
12,15,u,0.00294118261708043
12,44,u,0.000421522650522865
12,45,u,0.000721056928038122
46,12,u,0.000680649143494483
12,47,u,0.00122668564003305
49,12,u,0.00254673464104251
12,71,u,0.00268174400075067
12,72,u,0.00145658429871989
13,14,u,0.00182394981961442
45,13,u,0.000215391615436555
13,47,u,0.000290237096558377
13,68,u,0.00220324652163053
13,69,u,0.0028642870978322
13,70,u,0.00239815651454807
15,14,u,0.00824725263728077
14,16,u,0.00540072052907337
14,41,u,0.00115136125350954
42,14,u,0.000199552228793687
44,14,u,0.000697320874913254
45,14,u,0.000397786597397998
14,67,u,0.00279292883574853
14,68,u,0.00202085153966909
15,16,u,0.0136479731663541
15,42,u,0.00062517303493439
43,15,u,0.000204792802671028
15,44,u,0.000127404388814822
46,15,u,0.000974767405202526
16,17,u,0.00783162256035674
16,18,u,0.00696216728076249
16,39,u,0.0012323323827157
16,40,u,4.95457463214777e-05
16,41,u,0.000611289200602228
16,66,u,0.00236173652466718
18,17,u,0.000869455279594256
17,38,u,0.0024923590259434
17,39,u,0.000449170126679999
17,65,u,0.00418097441869598
17,66,u,0.00157857426863153
18,37,u,0.00362396277438162
18,38,u,0.00257930455390283
18,39,u,0.000536115654639424
40,18,u,0.000646670981754793
20,19,u,0.00303587700769015
19,21,u,0.00231488825870563
19,22,u,3.32609857067734e-05
19,35,u,0.000420023980262307
36,19,u,0.000518951830747394
19,64,u,0.000786655613763987
20,22,u,0.00306913799339692
36,20,u,0.000215364129978379
37,20,u,0.00219306437914573
38,20,u,0.00323772259962447
20,64,u,0.001090243314533
65,20,u,0.00154910720687189
22,21,u,0.00228162727299885
21,23,u,0.00156140054090881
21,24,u,0.00335558816778292
21,34,u,0.000241432325236124
21,35,u,0.000188535154391767
36,21,u,0.000750440656617935
22,23,u,0.00384302781390766
36,22,u,0.000522277929318049
