Label,x,y,ID
ax,684.966501240695,1107.3982630273,1
tt,958.117866004963,307.001240694789,2
tt,866.008684863524,440.400744416874,3
tt,843.775434243176,592.857320099256,4
tt,732.609181141439,564.271712158809,5
tt,573.800248138958,640.5,6
tt,583.328784119107,773.899503722085,7
tt,551.56699751861,881.889578163772,8
tt,405.462779156328,831.070719602978,9
tt,335.586848635236,951.765508684864,10
tt,287.944168734491,1107.3982630273,11
tt,307.001240694789,1250.32630272953,12
tt,484.867245657568,999.408188585608,13
tt,535.686104218362,1104.22208436725,14
tt,459.457816377171,1317.02605459057,15
tt,408.638957816377,1507.59677419355,16
tt,538.862282878412,1507.59677419355,17
tt,573.800248138958,1669.58188585608,18
tt,761.194789081886,1806.15756823821,19
tt,783.428039702233,1517.1253101737,20
tt,875.537220843672,1637.82009925558,21
tt,681.790322580645,1431.36848635236,22
tt,1059.75558312655,1809.33374689826,23
tt,1085.16501240695,1583.82506203474,24
tt,1259.85483870968,1818.86228287841,25
tt,1529.8300248139,1707.69602977668,26
tt,1412.31141439206,1621.93920595534,27
tt,1415.48759305211,1510.7729528536,28
tt,1571.12034739454,1434.54466501241,29
tt,1640.99627791563,1555.23945409429,30
tt,1799.80521091811,1587.00124069479,31
tt,1177.27419354839,1640.99627791563,32
ap,704.023573200993,1269.38337468983,33
tp,991.320099255583,1739.74640198511,34
tp,694.065508684863,1714.55533498759,35
tp,600.858560794044,1417.30074441687,36
tp,1596,1341,37
tp,1451,1374,38
tp,1698,1438,39
tp,1421,1439,40
tp,1502,1473,41
tp,1704,1581,42
tp,1562,1581,43
tp,1459,1583,44
tp,1333,1570,45
tp,1203,1547,46
tp,1366,1737,47
tp,1249,1669,48
tp,1172,1760,49
tp,1088,1665,50
tp,1158,1856,51
tp,977,1630,52
tp,907,1567,53
tp,872.922084367246,1795.16674937965,54
tp,775,1635,55
tp,687,1602,56
tp,673,1523,57
tp,591,1567,58
tp,483,1546,59
tp,498,1424,60
tp,385,1368,61
tp,399,1164,62
tp,393,1043,63
tp,417,918,64
tp,566,997,65
tp,488,769,66
tp,673,795,67
tp,675,713,68
tp,664,557,69
tp,718,635,70
tp,796,525,71
tp,948,400,72
tp,1038,365,73
bs,1899,1638,74
bs,1746,1732,75
bs,1576,1833,76
bs,1386,1882,77
bs,1224,1922,78
bs,1027,1927,79
bs,814,1901,80
bs,615,1789,81
bs,409,1649,82
bs,250,1405,83
bs,197,1187,84
bs,227,958,85
bs,324,784,86
bs,447,646,87
bs,524,522,88
bs,593.301240694789,472.635732009925,89
bs,719.256575682382,419.734491315136,90
bs,855,340,91
bs,923,235,92
bx,890.555831265509,1109.96972704715,-1
bp,920.785111662531,1301.42183622829,0
mc,1930.77229045927,1783.42222953001,93
mc,1746.87518304867,1880.85004983922,94
mc,1544.870200474,1978.5611172806,95
mc,1325.42151845,2017.96819795674,96
mc,1142.39767580001,2046.49162207822,97
mc,924.178252343554,2034.63266925697,98
mc,693.185351943874,1987.95357438071,99
mc,479.510004644373,1850.64060707877,100
mc,263.913403027047,1682.27134895544,101
mc,101.153611244618,1403.63770891933,102
mc,50.8039957181759,1159.00300704476,103
mc,88.4665601026202,903.542775385576,104
mc,195.72598479196,708.482582771163,105
mc,331.762677311537,551.779711621638,106
mc,423.526577136643,412.171977252489,107
mc,501.792325385526,355.233765665963,108
mc,643.174924618841,291.794326964951,109
mc,802.901382020351,200.562425124655,110
mc,891.227709540733,89.5777704699905,111
air,2099.45345087829,1858.10639963665,-274
air,1896.36591134543,1988.94066598202,-275
air,1667.64272287214,2116.2490502625,-276
air,1417.04319006677,2178.08230862465,-277
air,1207.15225054814,2219.22813875613,-278
air,956.540178192983,2216.24699936378,-279
air,691.696465648944,2172.42265678323,-280
air,441.965051205549,2031.25465862544,-281
air,190.973991501018,1851.71426380013,-282
air,-9.17179892814374,1551.48683138896,-283
air,-84.215900234914,1284.7037900242,-284
air,-67.4041810639751,1002.21076002601,-285
air,26.3054711399747,781.474011711317,-286
air,153.18281379701,598.042996113349,-287
air,240.146904042802,432.245707369839,-288
air,317.401183689665,360.798476702955,-289
air,459.539126166417,274.217277395445,-290
air,625.324971779782,150.585653811362,-291
air,722.546549121705,14.8936003633471,-292
