ax,12,,,,,,,
tt,3,4,28,29,30,63,64,
tt,4,6,29,30,31,,,
tt,5,30,31,32,65,,,
tt,6,7,32,34,66,,,
tt,7,11,32,33,34,,,
tt,8,34,35,66,67,,,
tt,10,11,35,37,38,67,68,
tt,10,13,14,41,42,43,44,70
tt,13,37,38,39,40,,,
tt,12,33,34,35,36,37,,
tt,13,36,,,,,,
tt,36,37,39,,,,,
tt,15,16,43,44,45,72,,
tt,17,45,46,72,73,,,
tt,17,18,46,47,48,,,
tt,19,46,48,49,73,74,,
tt,19,21,48,49,50,52,,
tt,20,49,50,51,74,75,,
tt,21,23,50,51,53,54,76,77
tt,22,52,54,56,,,,
tt,23,26,53,54,55,56,58,60
tt,24,53,55,77,78,,,
tt,25,55,57,79,80,,,
tt,26,55,57,58,59,,,
tt,58,59,60,61,62,,,
ap,43,,,,,,,
tp,29,63,,,,,,
tp,30,,,,,,,
tp,31,32,64,65,,,,
tp,32,33,,,,,,
tp,33,65,66,,,,,
tp,34,,,,,,,
tp,35,,,,,,,
tp,36,37,66,67,,,,
tp,37,39,,,,,,
tp,39,,,,,,,
tp,39,40,68,,,,,
tp,40,41,42,,,,,
tp,41,68,69,,,,,
tp,42,69,70,,,,,
tp,43,44,,,,,,
tp,44,45,47,,,,,
tp,70,71,72,,,,,
tp,46,47,,,,,,
tp,48,73,,,,,,
tp,48,,,,,,,
tp,49,,,,,,,
tp,50,74,,,,,,
tp,51,52,54,,,,,
tp,54,75,76,,,,,
tp,54,,,,,,,
tp,54,55,77,,,,,
tp,56,,,,,,,
tp,58,78,79,,,,,
tp,60,61,,,,,,
tp,59,80,,,,,,
tp,59,60,,,,,,
tp,62,,,,,,,
tp,61,,,,,,,
tp,62,,,,,,,
tp,,,,,,,,,
bs,64,,,,,,,
bs,65,,,,,,,
bs,66,,,,,,,
bs,67,,,,,,,
bs,68,,,,,,,
bs,69,,,,,,,
bs,70,,,,,,,
bs,71,,,,,,,
bs,72,,,,,,,
bs,73,,,,,,,
bs,74,,,,,,,
bs,75,,,,,,,
bs,76,,,,,,,
bs,77,,,,,,,
bs,78,,,,,,,
bs,79,,,,,,,
bs,80,,,,,,,
bs,,,,,,,,,
