ax,8,,,,,,,,
tt,3,4,35,36,74,,,,
tt,4,5,36,37,73,74,,,
tt,5,34,37,38,,,,,
tt,6,7,37,38,39,40,72,73,
tt,7,10,11,40,41,42,43,71,72
tt,8,9,39,40,42,44,,,
tt,9,16,38,39,44,50,52,,
tt,10,14,42,43,44,48,50,,
tt,11,12,41,43,46,48,,,
tt,12,41,45,46,69,70,,,
tt,13,14,46,47,48,49,,,
tt,14,47,49,65,66,,,,
tt,15,48,49,51,64,65,,,
tt,16,17,51,53,63,64,,,
tt,18,50,51,52,53,54,,,
tt,18,19,53,54,55,62,63,,
tt,19,22,27,54,55,56,,,
tt,20,55,56,61,62,,,,
tt,21,24,28,57,59,60,,,
tt,22,23,27,28,29,31,57,,
tt,27,29,,,,,,,
tt,24,25,28,30,31,32,33,,
tt,25,28,30,58,59,,,,
tt,30,33,58,,,,,,
ap,52,,,,,,,,
tp,29,55,56,57,,,,,
tp,30,31,57,59,,,,,
tp,31,32,,,,,,,
tp,33,58,,,,,,,
tp,32,33,,,,,,,
tp,33,,,,,,,,
tp,,,,,,,,,,
tp,35,36,,,,,,,
tp,36,,,,,,,,
tp,37,74,,,,,,,
tp,38,,,,,,,,
tp,39,,,,,,,,
tp,40,,,,,,,,
tp,42,72,,,,,,,
tp,41,42,43,46,70,71,,,
tp,43,44,,,,,,,
tp,48,,,,,,,,
tp,50,,,,,,,,
tp,46,67,68,69,,,,,
tp,47,67,,,,,,,
tp,49,66,67,,,,,,
tp,49,50,51,,,,,,
tp,65,,,,,,,,
tp,51,52,,,,,,,
tp,53,,,,,,,,
tp,54,,,,,,,,
tp,54,63,,,,,,,
tp,55,,,,,,,,
tp,56,62,,,,,,,
tp,57,60,61,,,,,,
tp,60,,,,,,,,
bs,59,,,,,,,,
bs,60,,,,,,,,
bs,61,,,,,,,,
bs,62,,,,,,,,
bs,63,,,,,,,,
bs,64,,,,,,,,
bs,65,,,,,,,,
bs,66,,,,,,,,
bs,67,,,,,,,,
bs,68,,,,,,,,
bs,69,,,,,,,,
bs,70,,,,,,,,
bs,71,,,,,,,,
bs,72,,,,,,,,
bs,73,,,,,,,,
bs,74,,,,,,,,
bs,,,,,,,,,,
