ax,14,,,,,,,,,
tt,3,53,54,55,56,73,74,,,
tt,4,5,49,51,54,56,72,73,,
tt,5,48,49,51,71,,,,,
tt,6,46,47,48,50,51,52,,,
tt,7,43,45,46,47,68,69,,,
tt,8,11,40,42,43,67,68,,,
tt,10,38,40,66,67,,,,,
tt,10,12,13,34,35,36,37,38,65,66
tt,11,37,38,39,40,,,,,
tt,39,40,41,42,,,,,,
tt,13,14,31,32,33,34,36,,,
tt,32,34,35,63,64,,,,,
tt,15,16,29,33,,,,,,
tt,16,27,28,29,,,,,,
tt,17,28,29,30,31,60,61,,,
tt,19,25,26,28,60,,,,,
tt,19,21,22,23,57,,,,,
tt,23,24,25,58,59,,,,,
ap,36,,,,,,,,,
tp,22,57,,,,,,,,
tp,23,24,,,,,,,,
tp,58,,,,,,,,,
tp,25,26,,,,,,,,
tp,26,59,60,,,,,,,
tp,27,28,,,,,,,,
tp,28,29,,,,,,,,
tp,29,,,,,,,,,
tp,31,,,,,,,,,
tp,31,32,61,62,,,,,,
tp,32,33,,,,,,,,
tp,34,63,,,,,,,,
tp,36,,,,,,,,,
tp,35,36,,,,,,,,
tp,64,65,,,,,,,,
tp,37,,,,,,,,,
tp,38,39,,,,,,,,
tp,40,66,,,,,,,,
tp,41,,,,,,,,,
tp,42,67,,,,,,,,
tp,42,44,,,,,,,,
tp,43,44,,,,,,,,
tp,45,68,,,,,,,,
tp,45,,,,,,,,,
tp,46,47,,,,,,,,
tp,47,48,69,70,,,,,,
tp,50,,,,,,,,,
tp,49,70,71,,,,,,,
tp,71,72,,,,,,,,
tp,52,,,,,,,,,
tp,52,54,,,,,,,,
tp,,,,,,,,,,,
tp,55,74,,,,,,,,
tp,55,56,,,,,,,,
tp,,,,,,,,,,,
tp,73,,,,,,,,,
bs,58,,,,,,,,,
bs,59,,,,,,,,,
bs,60,,,,,,,,,
bs,61,,,,,,,,,
bs,62,,,,,,,,,
bs,63,,,,,,,,,
bs,64,,,,,,,,,
bs,65,,,,,,,,,
bs,66,,,,,,,,,
bs,67,,,,,,,,,
bs,68,,,,,,,,,
bs,69,,,,,,,,,
bs,70,,,,,,,,,
bs,71,,,,,,,,,
bs,72,,,,,,,,,
bs,73,,,,,,,,,
bs,74,,,,,,,,,
bs,,,,,,,,,,,
