Label,x,y,ID
ax,1057.40976514215,1119.11557478368,1
tt,1016.27255871446,1774.14647713226,2
tt,1041.58776266996,1628.58405438813,3
tt,848.55933250927,1717.18726823239,4
tt,1190.31458590853,1827.9412855377,5
tt,750.462917181706,1489.35043263288,6
tt,797.928924598269,1388.08961681088,7
tt,924.504944375772,1467.19962917182,8
tt,585.914091470952,1340.62360939431,9
tt,549.43627935723,1182.23300370828,10
tt,712.490111248455,1169.74598269468,11
tt,519.461681087763,992.539555006181,12
tt,358.077255871446,824.826328800989,13
tt,589.078491965389,660.277503090235,14
tt,865.386341161928,838.341779975278,15
tt,1033.03331273177,960.853028430161,16
tt,1288.41100123609,1030.51236093943,17
tt,1443.46662546353,1090.63597033375,18
tt,1592.1934487021,1147.59517923362,19
ap,949.820148331273,1166.58158220025,20
tp,1176,1595,21
tp,1096,1566,22
tp,786,1080,23
tp,826,1154,24
tp,1026,1523,25
tp,1120,1711,26
tp,926,1557,27
tp,957,1678,28
tp,859,1401,29
tp,809,1260,30
tp,792,1584,31
tp,689,1304,32
tp,519.345797280593,1091.96155747837,33
tp,657,981,34
tp,424,896,35
tp,364,671,36
tp,578,853,37
tp,482,751,38
tp,444,541,39
tp,703,858,40
tp,698,636,41
tp,754,741,42
tp,889,736,43
tp,1038,814,44
tp,899.775463535228,969.450309023486,45
tp,1179,829,46
tp,1164,918,47
tp,1133,1032,48
tp,1301.69833127318,1111.30543881335,49
tp,1459,1148,50
bs,1044,1853,51
bs,902,1783,52
bs,741,1719,53
bs,660,1560,54
bs,577,1424,55
bs,500,1285,56
bs,421,1155,57
bs,373,1006,58
bs,279,868,59
bs,231,709,60
bs,280,545,61
bs,366,404,62
bs,524,420,63
bs,693,497,64
bs,850,595,65
bs,1004,673,66
bs,1144,739,67
bs,1283,833,68
bs,1410,953,69
bs,1562,1018,70
bp,1024.43603213844,1345.58133498146,0
bx,1151.24592088999,1261.75784919654,-1
mc,917.358919163375,1943.95467154712,71
mc,754.06228026489,1832.24577861389,72
mc,585.513565718976,1730.60536023936,73
mc,507.233888195291,1528.80335409401,74
mc,433.912781170341,1362.05838685257,75
mc,369.406598477885,1199.81737788377,76
mc,301.808058528973,1054.48136132995,77
mc,267.239692713729,891.433543153215,78
mc,181.927925909269,745.984722008118,79
mc,145.228019179396,578.792922858154,80
mc,210.524028274352,405.415599064618,81
mc,313.308379699673,257.254271674304,82
mc,483.665799617126,269.388353998813,83
mc,664.5250402047,343.703254123355,84
mc,834.180845661507,439.885622885151,85
mc,1006.96143193829,517.109187080869,86
mc,1170.11143102198,585.283023703636,87
mc,1337.85562696371,687.049406228919,88
mc,1499.43958515354,825.284393125679,89
mc,1688.64108083662,927.045328452882,90
air,915.605885212647,2137.17919314197,-251
air,695.010131676798,2016.23391035266,-252
air,483.29495617691,1894.58750785574,-253
air,364.204686773507,1658.7319360698,-254
air,267.224053925874,1459.80119775553,-255
air,188.622971314225,1268.05277209487,-256
air,114.034862849356,1100.08855218684,-257
air,75.2513175092972,913.325383184492,-258
air,-11.1490423131186,753.73541330915,-259
air,-47.7685057889558,569.246707705888,-260
air,20.0796861305758,372.708697361502,-261
air,127.989708181011,202.520563046523,-262
air,303.527469653012,199.46717729724,-263
air,490.383177014415,259.957207301975,-264
air,667.486043838107,342.153172191176,-265
air,853.238537661145,400.02775965256,-266
air,1035.50934889204,446.642956046854,-267
air,1232.06213921111,525.350529229933,-268
air,1437.19829881948,642.350494820647,-269
air,1690.39411478735,733.820806858027,-270
