Label,x,y,ID
ax,1641.71779859485,1144.10655737705,1
tt,1365.93325526932,1054.17681498829,2
tt,1530.80444964871,946.261124121781,3
tt,1572.77166276347,1078.15807962529,4
tt,1704.66861826698,934.270491803279,5
tt,1899.51639344262,778.392271662764,6
tt,1887.52576112412,943.263466042155,7
tt,1884.5281030445,1093.14637002342,8
tt,2040.34459143773,972.019688480466,9
tt,2121.34309133489,826.354800936769,10
tt,2181.2962529274,628.509367681499,11
tt,2235.25409836066,871.319672131148,12
tt,2400.12529274005,922.279859484778,13
tt,2289.3180471127,1083.76368039758,14
tt,2218.74289432294,1203.349355958,15
tt,2052.39695550351,1174.0831381733,16
tt,2106.35480093677,1383.91920374707,17
tt,1929.49297423888,1311.97540983607,18
tt,2050.14669599186,1495.45207167115,19
tt,1863.54449648712,1740.64051522248,20
tt,1743.63817330211,1575.76932084309,21
tt,1785.60538641686,1383.91920374707,22
tt,1587.75995316159,1692.67798594848,23
tt,1737.64285714286,1806.58899297424,24
tt,1499.2684200496,1848.32783561993,25
ap,1812.58430913349,1177.08079625293,26
tp,1835,1452,27
tp,1728,1692,28
tp,1730,1447,29
tp,1603,1775,30
tp,1669,1584,31
tp,1578,1577,32
tp,1496,1706,33
tp,1507,1094,34
tp,1436,1068,35
tp,1468,994,36
tp,1628,1022,37
tp,1715,1024,38
tp,1811,968,39
tp,1808,842,40
tp,2057,722,41
tp,1972,882,42
tp,2054,846,43
tp,1958,972,44
tp,2315,592,45
tp,2252,719,46
tp,2344,801,47
tp,2145,955,48
tp,2296,961,49
tp,2047,1064,50
tp,2155,1121,51
tp,1959,1128,52
tp,2135,1260,53
tp,2007,1243,54
tp,1993,1415,55
tp,1960,1529,56
tp,1856,1595,57
bs,1676.71651744923,1915.63562022498,58
bs,1821.61636018892,1821.14837991025,59
bs,1957.35859275374,1711.35686827694,60
bs,2039.20317415312,1587.59189152666,61
bs,2163.24184288688,1475.80417059092,62
bs,2237.10158707656,1340.0619380261,63
bs,2350.88551731472,1212.30454267097,64
bs,2435.25483810836,1056.60021708191,65
bs,2469.70331375282,847.427576361916,66
bs,2440.42981315965,676.315898993254,67
bs,2429.27035593996,523.803316990751,68
bs,2235.11933485109,520.469405353418,69
bs,2093.41206965069,573.866345863713,70
bs,1898.30786394,666.284127516147,71
bs,1746.33195633378,738.164624356929,72
bs,1588.19486328405,849.06596233985,73
bs,1421.84285630967,918.892730699467,74
bp,1675.70630202399,1281.76619239106,0
bx,1511.03094551456,1219.03272324461,-1
mc,1656.3323083092,2057.85798542828,75
mc,1850.23992914663,1961.94400642758,76
mc,2032.90008730253,1833.57061442532,77
mc,2146.52597022353,1683.11432130058,78
mc,2290.16283831412,1543.13750606484,79
mc,2375.14513642567,1379.89528623318,80
mc,2493.10749560602,1232.6914511466,81
mc,2578.92789847284,1057.4770704284,82
mc,2611.50600218569,824.303677480094,83
mc,2577.64903867104,633.729500972992,84
mc,2561.5879948006,467.814393151914,85
mc,2359.43014670496,448.430948939371,86
mc,2211.57527472402,492.13401374793,87
mc,2004.11346178737,569.083856886658,88
mc,1836.12693554089,626.00590264756,89
mc,1652.1185698636,720.393988377303,90
mc,1442.2270654497,776.670365496164,91
air,1783.6323967499,2182.35619186974,-258
air,2011.98946243496,2036.38998956406,-259
air,2210.41404554031,1847.49579144047,-260
air,2320.61413953135,1645.71879708711,-261
air,2450.408790988,1465.50793324758,-262
air,2516.03337641343,1271.01177160723,-263
air,2617.60811814385,1105.39372566872,-264
air,2684.98073168503,914.445911264334,-265
air,2692.18887588658,665.573120196647,-266
air,2635.51408550037,465.334868399419,-267
air,2602.4623053453,294.510017380141,-268
air,2378.39352049808,271.384326891586,-269
air,2216.34441230709,314.138588944756,-270
air,1984.36826450736,392.122722429054,-271
air,1789.70270087572,454.105040637208,-272
air,1570.2419969254,562.275859346996,-273
air,1314.926977009,652.172159054706,-274
