ax,11,,,,,,
tt,3,4,62,63,64,81,82
tt,4,6,60,61,62,64,
tt,5,6,60,61,80,81,
tt,6,7,58,59,60,79,80
tt,59,,,,,,
tt,8,55,57,58,59,78,79
tt,9,10,54,55,56,,
tt,10,11,52,53,54,,
tt,51,52,55,76,77,,
tt,12,13,49,50,51,52,53
tt,13,50,51,74,75,,
tt,14,49,50,74,,,
tt,15,48,49,73,74,,
tt,16,46,47,48,73,,
tt,17,45,46,47,,,
tt,18,43,44,45,,,
tt,19,20,21,41,42,43,44
tt,20,42,44,70,71,,
tt,22,39,40,42,70,,
tt,22,,,,,,
tt,23,37,38,39,41,42,
tt,24,29,38,40,68,69,
tt,25,29,36,38,67,68,
tt,26,27,36,66,67,,
tt,27,28,32,33,36,,
tt,31,33,65,66,,,
tt,29,32,34,36,,,
tt,34,35,36,37,38,,
ap,48,,,,,,
tp,32,33,65,,,,
tp,33,,,,,,
tp,36,66,,,,,
tp,35,36,,,,,
tp,37,38,,,,,
tp,38,67,,,,,
tp,38,39,,,,,
tp,40,68,,,,,
tp,40,41,42,,,,
tp,69,70,,,,,
tp,42,43,,,,,
tp,,,,,,,,
tp,44,47,,,,,
tp,45,71,72,,,,
tp,46,47,72,,,,
tp,47,72,73,,,,
tp,48,,,,,,
tp,49,73,,,,,
tp,50,,,,,,
tp,51,74,75,,,,
tp,52,75,76,,,,
tp,53,,,,,,
tp,54,,,,,,
tp,55,56,,,,,
tp,56,77,78,,,,
tp,57,,,,,,
tp,59,,,,,,
tp,59,79,,,,,
tp,60,,,,,,
tp,61,80,,,,,
tp,62,80,81,,,,
tp,63,64,81,,,,
tp,64,82,,,,,
tp,,,,,,,,
bs,66,,,,,,
bs,67,,,,,,
bs,68,,,,,,
bs,69,,,,,,
bs,70,,,,,,
bs,71,,,,,,
bs,72,,,,,,
bs,73,,,,,,
bs,74,,,,,,
bs,75,,,,,,
bs,76,,,,,,
bs,77,,,,,,
bs,78,,,,,,
bs,79,,,,,,
bs,80,,,,,,
bs,81,,,,,,
bs,82,,,,,,
bs,,,,,,,,
