ax,17,,,,,,,,,,
tt,3,4,55,58,60,61,78,79,80,,
tt,4,5,6,51,54,55,77,78,,,
tt,5,54,55,56,57,58,,,,,
tt,6,51,52,53,54,56,,,,,
tt,7,8,49,50,51,52,53,75,76,,
tt,8,10,46,47,48,49,50,,,,
tt,9,48,49,74,75,,,,,,
tt,10,11,12,42,43,44,47,48,71,72,73
tt,11,44,46,47,,,,,,,
tt,12,16,35,40,43,44,45,46,,,
tt,13,16,39,40,42,43,,,,,
tt,14,39,41,42,69,70,71,,,,
tt,15,38,39,41,67,68,,,,,
tt,16,18,37,38,66,67,,,,,
tt,17,19,34,35,36,38,39,40,,,
tt,24,30,34,35,45,,,,,,
tt,19,20,33,37,65,66,,,,,
tt,20,32,33,34,36,37,,,,,
tt,21,24,31,32,33,64,65,,,,
tt,23,24,27,28,29,31,64,,,,
tt,23,26,62,,,,,,,,
tt,26,27,,,,,,,,,
tt,29,30,32,,,,,,,,
ap,45,,,,,,,,,,
tp,27,62,,,,,,,,,
tp,28,62,63,,,,,,,,
tp,29,31,63,,,,,,,,
tp,30,31,32,,,,,,,,
tp,32,34,,,,,,,,,
tp,32,64,,,,,,,,,
tp,33,34,,,,,,,,,
tp,36,37,65,,,,,,,,
tp,35,36,,,,,,,,,
tp,40,45,,,,,,,,,
tp,37,38,,,,,,,,,
tp,38,66,,,,,,,,,
tp,39,41,67,,,,,,,,
tp,40,41,42,,,,,,,,
tp,43,,,,,,,,,,
tp,68,69,,,,,,,,,
tp,43,71,,,,,,,,,
tp,44,,,,,,,,,,
tp,46,47,,,,,,,,,
tp,46,,,,,,,,,,
tp,50,,,,,,,,,,
tp,48,,,,,,,,,,
tp,49,73,74,,,,,,,,
tp,50,52,75,,,,,,,,
tp,52,53,,,,,,,,,
tp,52,54,76,77,,,,,,,
tp,53,,,,,,,,,,
tp,56,,,,,,,,,,
tp,55,,,,,,,,,,
tp,58,78,,,,,,,,,
tp,57,,,,,,,,,,
tp,59,,,,,,,,,,
tp,59,61,,,,,,,,,
tp,,,,,,,,,,,,
tp,61,80,,,,,,,,,
tp,,,,,,,,,,,,
bs,63,,,,,,,,,,
bs,64,,,,,,,,,,
bs,65,,,,,,,,,,
bs,66,,,,,,,,,,
bs,67,,,,,,,,,,
bs,68,,,,,,,,,,
bs,69,,,,,,,,,,
bs,70,,,,,,,,,,
bs,71,,,,,,,,,,
bs,72,,,,,,,,,,
bs,73,,,,,,,,,,
bs,74,,,,,,,,,,
bs,75,,,,,,,,,,
bs,76,,,,,,,,,,
bs,77,,,,,,,,,,
bs,78,,,,,,,,,,
bs,79,,,,,,,,,,
bs,80,,,,,,,,,,
bs,,,,,,,,,,,,
