Source,Target,flow,value
1,5,u,0.11192516686832
1,20,u,0.0212730397289586
-1,1,u,0.133198206597278
3,2,u,0.00975167381367548
41,2,u,0.00105466559001508
2,42,u,0.00153666131953014
43,2,u,0.000818430089865263
2,44,u,0.000205618796232177
2,61,u,0.0047126007332821
2,62,u,0.005169888644512
4,3,u,0.0119126457582629
7,3,u,0.00309707086131084
40,3,u,0.000350227100103417
41,3,u,7.94982086475216e-05
3,61,u,0.00568776811464966
5,4,u,0.0152134514684927
4,40,u,0.000841037475722883
4,41,u,0.00111176636717878
4,43,u,0.00134800186732855
5,6,u,0.0640514613003971
5,7,u,0.0240290263654448
5,39,u,0.00626884511141204
5,40,u,0.00236238262257213
6,8,u,0.0587082268591287
6,38,u,0.00547953545989643
39,6,u,0.000136301018627671
7,37,u,0.00808907301090223
7,39,u,0.00386594247486753
40,7,u,4.05200139723227e-05
7,60,u,0.00901746003233725
8,9,u,0.0251365339741833
8,13,u,0.0392265101185382
8,35,u,0.00252758686547003
37,8,u,0.00178399316850588
38,8,u,0.000391287226016468
39,8,u,0.00600712370454053
9,10,u,0.0164134038759238
9,34,u,0.00167040067344799
9,35,u,1.39334680516967e-05
9,36,u,0.00352487413007996
37,9,u,0.00429764656592417
9,58,u,0.00579723980104223
9,59,u,0.00201432859156254
10,11,u,0.00354851462946937
10,12,u,0.0122856636978941
13,10,u,0.00232342773156891
10,32,u,0.00212631610093648
10,33,u,0.00237468381287567
10,34,u,2.90602858556088e-05
35,10,u,0.00162740691954069
11,33,u,0.00201983234992875
11,36,u,0.00152868227954066
12,32,u,0.000897749731147046
12,33,u,0.00114611744308628
12,54,u,0.00485296473090835
12,55,u,0.00538883179275298
13,14,u,0.0308743820738261
13,30,u,0.00123306604321436
13,31,u,0.00243697539583509
13,32,u,0.00235865887409337
14,15,u,0.0157555864769482
14,29,u,0.00286396778132336
30,14,u,0.00185437216416826
31,14,u,0.000650462811547525
14,51,u,0.0059269201932378
14,52,u,0.00552324615132083
14,53,u,0.00330949644671241
15,16,u,0.019156669382506
15,26,u,0.00123214765649142
15,29,u,0.00128840913362853
30,15,u,0.00342993081186309
46,15,u,0.00249170888381465
16,17,u,0.0173585877866924
26,16,u,0.000683519281759137
16,27,u,0.0015052270195191
16,28,u,0.00160363166267605
29,16,u,0.000627257804622072
17,18,u,0.00910933097039557
17,24,u,0.00146337472782991
17,25,u,0.0024206598894315
27,17,u,0.000230631759150146
45,17,u,5.3924942638206e-05
17,49,u,0.00464977890082423
18,19,u,0.00728129932289168
21,18,u,0.000194713359110432
18,22,u,0.00118710450442676
18,23,u,0.000283198871398005
18,24,u,0.000552441630790357
19,22,u,0.000458974572137594
24,19,u,0.000175688301498811
19,47,u,0.0038425796806433
19,48,u,0.00315543337160955
38,20,u,0.00462250910885031
38,20,j,0.0118668232281696
