ax,6,,,,,,,,,
tt,3,4,28,29,61,62,,,,
tt,3,4,27,28,29,,,,,
tt,6,7,23,24,25,26,27,28,59,60
tt,6,7,9,16,24,25,30,31,38,
tt,23,24,25,,,,,,,
tt,8,25,31,58,59,,,,,
tt,9,11,31,32,57,58,,,,
tt,10,16,30,31,32,36,,,,
tt,11,12,32,33,34,36,,,,
tt,32,33,56,57,,,,,,
tt,13,33,34,54,55,,,,,
tt,14,15,34,35,36,53,54,,,
tt,15,35,39,52,53,,,,,
tt,16,17,35,36,37,39,,,,
tt,30,36,37,38,,,,,,
tt,18,19,37,39,40,41,51,,,
tt,19,20,21,41,42,45,,,,
tt,20,40,42,49,50,,,,,
tt,21,42,43,44,45,48,49,,,
tt,43,44,46,47,,,,,,
ap,38,,,,,,,,,
tp,24,25,26,,,,,,,
tp,25,30,38,,,,,,,
tp,26,31,59,,,,,,,
tp,27,28,,,,,,,,
tp,28,29,,,,,,,,
tp,29,60,61,,,,,,,
tp,62,,,,,,,,,
tp,31,36,38,,,,,,,
tp,32,58,,,,,,,,
tp,33,36,57,,,,,,,
tp,34,55,56,,,,,,,
tp,36,54,,,,,,,,
tp,36,39,53,,,,,,,
tp,37,38,,,,,,,,
tp,38,41,,,,,,,,
tp,,,,,,,,,,,
tp,40,51,52,,,,,,,
tp,41,42,50,51,,,,,,
tp,42,45,,,,,,,,
tp,45,49,,,,,,,,
tp,44,47,48,,,,,,,
tp,45,,,,,,,,,
tp,,,,,,,,,,,
bs,47,,,,,,,,,
bs,48,,,,,,,,,
bs,49,,,,,,,,,
bs,50,,,,,,,,,
bs,51,,,,,,,,,
bs,52,,,,,,,,,
bs,53,,,,,,,,,
bs,54,,,,,,,,,
bs,55,,,,,,,,,
bs,56,,,,,,,,,
bs,57,,,,,,,,,
bs,58,,,,,,,,,
bs,59,,,,,,,,,
bs,60,,,,,,,,,
bs,61,,,,,,,,,
bs,62,,,,,,,,,
bs,,,,,,,,,,,
