Id,Label,P,C,S,Pi,Psi
-1,bx,0,0,0,0,0
0,bp,0.217391304347826,0,0,0,0.217391304347826
1,ax,-0.736775303798014,0,0,0,-0.736775303798014
2,tt,-0.94755322838115,0,0,0,-0.94755322838115
3,tt,-0.931551432066781,0,0,0,-0.931551432066781
4,tt,-0.908372002001778,0,0,0,-0.908372002001778
5,tt,-0.864784440207866,0,0,0,-0.864784440207866
6,tt,-0.921372581342398,0,0,0,-0.921372581342398
7,tt,-0.97934288506574,0,0,0,-0.97934288506574
8,tt,-1.02824954257331,0,0,0,-1.02824954257331
9,tt,-1.06709450817882,0,0,0,-1.06709450817882
10,tt,-1.0960188220697,0,0,0,-1.0960188220697
11,tt,-1.09788848894803,0,0,0,-1.09788848894803
12,tt,-1.10881263095361,0,0,0,-1.10881263095361
13,tt,-1.11730968719201,0,0,0,-1.11730968719201
14,tt,-1.12175917598038,0,0,0,-1.12175917598038
15,tt,-1.12616628526385,0,0,0,-1.12616628526385
16,tt,-1.13198690407332,0,0,0,-1.13198690407332
17,tt,-1.146408925027,0,0,0,-1.146408925027
18,tt,-1.14894879394999,0,0,0,-1.14894879394999
19,tt,-1.15136639998067,0,0,0,-1.15136639998067
20,ap,1.46046488783426,0.916433845463877,0,2.39069935894115,-0.930234471106893
21,tp,1.46169300083092,1.00098866554188,16.669410696541,2.61127736918863,-1.14958436835771
22,tp,1.46257176761101,1.00060758748966,16.6683535532713,2.61028325154482,-1.14771148393381
23,tp,1.46031750782861,1.00154716015659,16.6709587976539,2.61273431310659,-1.15241680527799
24,tp,1.46441819506419,0.999881957905747,16.6663387372964,2.60839030292702,-1.14397210786282
25,tp,1.46030108689533,1.00148912674225,16.6707980016435,2.61258292144077,-1.15228183454545
26,tp,1.4712113853175,0.996910976724854,16.6580638994675,2.60063990955193,-1.12942852423443
27,tp,1.46680802045897,0.998824363632571,16.6633978082871,2.60563135860887,-1.1388233381499
28,tp,1.47309452950996,0.993503951422582,16.6485238741368,2.59175200864522,-1.11865747913526
29,tp,1.47161577307395,0.996418465408821,16.6566881740725,2.59935509614904,-1.12773932307509
30,tp,1.47595056272077,0.990108211808463,16.6389610721856,2.58289354869332,-1.10694298597256
31,tp,1.4857020587997,0.993507521314974,16.6485339085727,2.59176132141722,-1.10605926261752
32,tp,1.48130783017283,0.985842650520292,16.6268712968597,2.57176598647197,-1.09045815629913
33,tp,1.49245740604199,0.990097328015145,16.6389303040755,2.58286515616086,-1.09040775011887
34,tp,1.49912985376886,0.983893035451032,16.6213165946324,2.56668002907381,-1.06755017530495
35,tp,1.52148778403979,0.978884580609906,16.6069617747613,2.553614481749,-1.03212669770921
36,tp,1.50695479023992,0.974556190627213,16.5944577608392,2.54232301842287,-1.03536822818295
37,tp,1.53286714923716,0.979965250127786,16.6100684785297,2.55643362241737,-1.02356647318021
38,tp,1.55701026193444,0.964427972349181,16.564839674744,2.51590155323544,-0.958891291301009
39,tp,1.53989185493556,0.947447664354856,16.5140015984894,2.47160505367076,-0.931713198735197
40,tp,1.58528619711414,0.955803887479318,16.5392047428349,2.49340391822132,-0.908117721107177
41,tp,1.5897851726785,0.955228703440094,16.5374822453024,2.49190343663102,-0.902118263952526
42,tp,1.58198030458577,0.951966921204875,16.5276781759301,2.48339443105758,-0.901414126471806
43,tp,1.59858458014957,0.970370456526322,16.5822787621204,2.53140370124441,-0.932819121094845
44,tp,1.59272497806994,0.961061515086058,16.554876700754,2.50711948210103,-0.91439450403109
45,tp,1.59618939305203,0.976558147058603,16.6002530323985,2.54754551864026,-0.951356125588232
46,tp,1.59579011078536,0.968293222522151,16.5762020003517,2.52598482455547,-0.930194713770113
47,tp,1.59713414531874,0.973085668379425,16.590189346869,2.53848686962447,-0.941352724305726
48,tp,1.58250634517356,0.986634057059252,16.6291208499089,2.57383052731659,-0.991324182143024
49,tp,1.59577419264338,0.977781120255712,16.6037832188896,2.55073588666606,-0.954961694022677
50,tp,1.58913539647089,0.982201362959731,16.6164816505759,2.56226696602456,-0.973131569553672
51,tp,1.45541147631202,1.00336794174508,16.6759958751678,2.61748418283033,-1.16207270651831
52,tp,1.59658920781528,0.975385749358128,16.5968619182383,2.54448708682347,-0.947897879008188
53,bs,1.44215112574012,1.00819403776354,16.6892735137141,2.63007401101554,-1.18792288527542
54,bs,1.44828072207679,1.00593056754974,16.6830594494374,2.62416930025449,-1.17588857817771
55,bs,1.44842229903754,1.00578654117679,16.6826632530758,2.62379357890898,-1.17537127987143
56,bs,1.45573708014562,1.00322077215262,16.6755893065085,2.61710026177361,-1.161363181628
57,bs,1.46128324123618,1.00143948625873,16.6706604483699,2.61245342439883,-1.15117018316265
58,bs,1.45915651675938,1.00332918327174,16.6758888134024,2.61738307366917,-1.1582265569098
59,bs,1.47350650632051,0.998860765959842,16.6634991136009,2.60572632129592,-1.13221981497541
60,bs,1.48454404993396,0.99573431950998,16.6547752959217,2.59757036594743,-1.11302631601346
61,bs,1.48746971344185,0.997025964228187,16.658384940254,2.6009398772494,-1.11347016380755
62,bs,1.50279149579991,0.992059636789826,16.6444631239187,2.587984227606,-1.08519273180608
63,bs,1.50990242229888,0.990008347443031,16.6386793261349,2.58263303269907,-1.07273061040018
64,bs,1.50922421755179,0.991315039251997,16.6423659856487,2.5860417973202,-1.07681757976841
65,bs,1.53575553699904,0.986153006176615,16.6277542622387,2.57257561072612,-1.03682007372708
66,bs,1.56799205395971,0.980075424617774,16.6103852332777,2.5567210344154,-0.988728980455692
