Label,x,y,ID
ax,1362.9355971897,1012.20960187354,1
tt,1701.67096018735,1015.20725995316,2
tt,1584.76229508197,1120.12529274005,3
tt,1509.82084309133,1009.21194379391,4
tt,1479.84426229508,859.329039812647,5
tt,1455.86299765808,670.476580796254,6
tt,1347.94730679157,757.408665105387,7
tt,1353.94262295082,934.270491803279,8
tt,1150.1018735363,808.368852459017,9
tt,1153.83021077283,542.552693208431,10
tt,1350.74824355972,536.524590163934,11
tt,1252.02224824356,397.689695550352,12
tt,1162.0925058548,295.769320843092,13
tt,1003.21662763466,379.7037470726,14
tt,973.240046838407,589.539812646371,15
tt,997.22131147541,724.434426229509,16
tt,841.343091334894,874.317330210773,17
tt,1042.18618266979,898.298594847776,18
tt,892.303278688525,1048.18149882904,19
tt,1000.21896955503,1153.09953161593,20
tt,916.284543325527,1293.98946135831,21
tt,964.247072599531,1422.8887587822,22
ap,1243.02927400468,973.240046838408,23
tp,1180,1460,24
tp,1112,1350,25
tp,1052,1476,26
tp,952,1568,27
tp,1077,1114,28
tp,1004,1234,29
tp,1019,1042,30
tp,901,1098,31
tp,974,953,32
tp,862,940,33
tp,1062,805,34
tp,929,787,35
tp,922,622,36
tp,1092,672,37
tp,1014,475,38
tp,1111,347,39
tp,1239,498,40
tp,1296,620,41
tp,1230,727,42
tp,1496,759,43
tp,1384,827,44
tp,1548,886,45
tp,1600,975,46
tp,1435,928,47
tp,1651,1060,48
tp,1719,1149,49
tp,1494,1060,50
tp,1628,1212,51
bs,838,1507,52
bs,843,1349,53
bs,800,1201,54
bs,782,1041,55
bs,757,875,56
bs,801,699,57
bs,862,507,58
bs,945,341,59
bs,1061,238,60
bs,1157,138,61
bs,1289,236,62
bs,1352,406,63
bs,1457,535,64
bs,1542,656,65
bs,1604,779,66
bs,1687,900,67
bs,1771,1024,68
bs,1838,1164,69
bp,1240.23302107728,1129.28805620609,0
bx,1388.9262295082,1177.51288056206,-1
mc,701.393579240946,1498.48197121936,70
mc,715.166035242105,1300.0883606778,71
mc,690.026241404726,1119.51599281248,72
mc,694.77143762263,935.524652584195,73
mc,690.43507569262,755.404925440634,74
mc,759.492226665918,568.57386857016,75
mc,844.421845499469,371.261724295382,76
mc,947.239180833767,204.146585442302,77
mc,1080.84066051631,102.573934572462,78
mc,1189.89180108,5.13916894501639,79
mc,1335.69672735996,107.34042336158,80
mc,1406.27700530553,280.350178265266,81
mc,1527.40301315883,417.623312599713,82
mc,1628.52702459719,549.9483851077,83
mc,1705.79095285064,687.498781840537,84
mc,1806.95071366205,834.07809697171,85
mc,1904.23837884871,992.672609290353,86
mc,1974.60642075905,1172.51802878064,87
air,592.872709824547,1628.85276213065,-252
air,572.673438784159,1392.11652037037,-253
air,528.035855426151,1169.83931814218,-254
air,525.440350675399,945.539901707218,-255
air,522.111094538276,734.42017883557,-256
air,598.680296246477,514.603087062943,-257
air,695.815467597166,289.472564448341,-258
air,812.024960413722,101.723751963013,-259
air,959.938966642439,-16.4054865059553,-260
air,1081.10943956803,-125.013510803061,-261
air,1241.22152769621,-33.5416509780004,-262
air,1320.36070913714,134.091119487934,-263
air,1461.56490839675,261.294600639741,-264
air,1585.81758793779,385.786190184618,-265
air,1688.8058839287,518.724288342723,-266
air,1828.83882743853,665.869200961318,-267
air,1970.44825097443,836.500988773619,-268
air,2083.12729017545,1042.14723786935,-269
