Id,Label,P,C,S,Pi,Psi
-1,bx,0,0,0,0,0
0,bp,0.217391304347826,0,0,0,0.217391304347826
1,ax,-0.769392025708278,0,0,0,-0.769392025708278
2,tt,-1.16585268855594,0,0,0,-1.16585268855594
3,tt,-1.15927978220967,0,0,0,-1.15927978220967
4,tt,-1.16345058175598,0,0,0,-1.16345058175598
5,tt,-1.13712773222087,0,0,0,-1.13712773222087
6,tt,-1.14340484779824,0,0,0,-1.14340484779824
7,tt,-1.12848256975038,0,0,0,-1.12848256975038
8,tt,-1.10066992642289,0,0,0,-1.10066992642289
9,tt,-1.07127152524675,0,0,0,-1.07127152524675
10,tt,-1.03745733836143,0,0,0,-1.03745733836143
11,tt,-1.0054385201209,0,0,0,-1.0054385201209
12,tt,-0.903074914849086,0,0,0,-0.903074914849086
13,tt,-0.972770922351222,0,0,0,-0.972770922351222
14,tt,-0.961250327873855,0,0,0,-0.961250327873855
15,tt,-0.942695857328027,0,0,0,-0.942695857328027
16,tt,-0.922126104923339,0,0,0,-0.922126104923339
17,tt,-0.930353851632016,0,0,0,-0.930353851632016
18,tt,-0.936277627931441,0,0,0,-0.936277627931441
19,tt,-0.931257033652635,0,0,0,-0.931257033652635
20,tt,-0.933984848290782,0,0,0,-0.933984848290782
21,tt,-1.00959171452371,0,0,0,-1.00959171452371
22,tt,-1.02275598881905,0,0,0,-1.02275598881905
23,tt,-1.0279088162277,0,0,0,-1.0279088162277
24,tt,-1.01446224277566,0,0,0,-1.01446224277566
25,tt,-1.03200137527581,0,0,0,-1.03200137527581
26,tt,-1.02178070539501,0,0,0,-1.02178070539501
27,ap,1.44772020536644,0.927308049739427,0,2.41906687648672,-0.971346671120279
28,tp,1.45424289707065,1.00327756348292,16.6757462091972,2.61724841321696,-1.16300551614631
29,tp,1.46029239716077,1.00020889787007,16.6672468398608,2.60924319063624,-1.14895079347547
30,tp,1.44997099029003,1.00522844106108,16.681127109274,2.62233766411988,-1.17236667382985
31,tp,1.44990752620297,1.00531904044117,16.6813765749818,2.62257401056317,-1.1726664843602
32,tp,1.46530165352402,0.997386115037649,16.6593900015974,2.60187940203186,-1.13657774850784
33,tp,1.46016938046991,1.00038573809924,16.6677378261935,2.60970451343068,-1.14953513296077
34,tp,1.47489449374559,0.991780015161475,16.6436759632555,2.5872547791565,-1.11236028541091
35,tp,1.48798310137806,0.984978132998524,16.6244099518773,2.56951072113523,-1.08152761975718
36,tp,1.49387666627519,0.983479282065019,16.6201346628531,2.56560067134428,-1.07172400506909
37,tp,1.51026031827228,0.974485691045997,16.5942558934761,2.5421391062895,-1.03187878801722
38,tp,1.50986961978527,0.982122710525467,16.6162573224124,2.56206178555779,-1.05219216577253
39,tp,1.50775930214293,0.984525560004129,16.6231205227826,2.56833009476168,-1.06057079261874
40,tp,1.51745873326663,0.982140255404693,16.6163064361703,2.56210755485334,-1.04464882158671
41,tp,1.5201582724737,0.975667468899078,16.5976752708207,2.54522200809387,-1.02506373562017
42,tp,1.52495394474138,0.977550223427478,16.6031178641886,2.55013354651683,-1.02517960177544
43,tp,1.53432655790179,0.983801158737109,16.6210541526799,2.56644035045198,-1.03211379255019
44,tp,1.53150852695021,0.976837852563437,16.6010614439995,2.54827518589819,-1.01676665894799
45,tp,1.52699260927462,0.971482573386093,16.5855256082355,2.53430487853821,-1.00731226926358
46,tp,1.53454795443688,0.977342167594347,16.6025146146343,2.54959079163129,-1.01504283719441
47,tp,1.5391408348363,0.970397177743307,16.5823577946554,2.53147340883611,-0.992332573999804
48,tp,1.51828095536638,0.961106905104513,16.5550081436838,2.50723789096225,-0.988956935595865
49,tp,1.55825997242963,0.964646897933388,16.5654832972938,2.51647266402147,-0.958212691591837
50,tp,1.58768939836818,0.972501190454667,16.5884894149482,2.53696214309134,-0.94927274472316
51,tp,1.60735459565212,0.977626743562726,16.6033380905113,2.55033316445891,-0.942978568806783
52,tp,1.61994288829029,0.977549405256971,16.6031149103147,2.55013141215686,-0.930188523866572
53,tp,1.62209998010085,0.981041083961908,16.6131576101679,2.55924014824604,-0.93714016814519
54,tp,1.62345577976312,0.979202800538206,16.607877803103,2.55444462151561,-0.930988841752489
55,tp,1.62106629096144,0.981536898838525,16.614578856528,2.56053357964161,-0.93946728868017
56,bs,1.43372920749987,1.01142899311169,16.6981143567286,2.63851303333594,-1.20478382583607
57,bs,1.43448909229396,1.01116831250685,16.6974036877903,2.63783299630112,-1.20334390400716
58,bs,1.43797917703042,1.00986707191308,16.6938516751844,2.63443845225547,-1.19645927522505
59,bs,1.44805121046504,1.00602858054372,16.6833289972308,2.6244249865793,-1.17637377611425
60,bs,1.45477367741994,1.00400688600676,16.6777599003229,2.61915099560068,-1.16437731818074
61,bs,1.46509060437582,0.999792755090934,16.6660907607002,2.60815759970109,-1.14306699532527
62,bs,1.47889872203608,0.992612878906352,16.6460202554394,2.58942746934119,-1.11052874730511
63,bs,1.48927219009554,0.99055963300293,16.6402347952534,2.58407117036843,-1.0947989802729
64,bs,1.49203332365895,0.991158305288277,16.6419244868094,2.58563292570503,-1.09359960204608
65,bs,1.50407802664787,0.989693643221311,16.6377898739151,2.58181206435002,-1.07773403770215
66,bs,1.51332089971353,0.99025223543098,16.6393677808622,2.58326926286377,-1.06994836315025
67,bs,1.51890153563419,0.990111504323535,16.6389704564718,2.58290213787159,-1.06400060223741
