Source,Target,flow,value
1,4,u,0.134750979466547
1,19,u,0.0197342722317174
-1,1,u,0.154485251698264
3,2,u,0.0117574197475511
2,20,u,0.000548189413535472
2,21,u,8.32380369136132e-05
22,2,u,0.000256998008269038
2,24,u,0.00183492875793063
2,25,u,0.000928401937460066
2,44,u,0.00467096345533982
2,45,u,0.0039486961546412
4,3,u,0.0211800069428493
3,22,u,0.00091874396648608
3,23,u,0.000383992401163935
3,25,u,0.00210414391221514
3,26,u,0.0014787744227228
3,46,u,0.00453693249271039
4,5,u,0.0877204072459037
4,23,u,0.00250199309544885
4,26,u,0.00359677511700776
4,27,u,0.00754414724403087
4,28,u,0.00518884895401968
4,47,u,0.00701880086728726
5,6,u,0.0180503417932674
5,7,u,0.0270614789737869
5,13,u,0.0391139083898044
27,5,u,0.00122789348055949
5,29,u,0.000338582810150934
5,30,u,0.00175041027516349
5,33,u,0.0026335784842892
6,7,u,0.00901113718051949
29,6,u,0.00146645136917583
30,6,u,5.46239041632646e-05
6,48,u,0.000914331881319264
6,49,u,0.00455546126266197
6,50,u,0.00509048674210635
7,8,u,0.020223355049322
30,7,u,0.000955737622215214
7,31,u,0.00156616985426834
7,32,u,0.00324763044003062
33,7,u,7.25694130895072e-05
7,34,u,0.00172969700218242
7,51,u,0.00477534765291745
7,52,u,0.00555872319089059
8,9,u,0.0114128972958309
8,10,u,0.00833396697180655
31,8,u,0.000456165650663864
8,32,u,0.00122529493509842
34,8,u,0.000292638502749787
10,9,u,0.0030789303240244
9,32,u,8.40052055153695e-05
9,35,u,0.000836953168790444
9,53,u,0.00386533183320164
9,54,u,0.00525790729185238
9,55,u,0.00444763012049596
10,11,u,0.00469984337574125
10,12,u,1.83931565156392e-05
34,10,u,0.00112603519993044
10,35,u,0.00114484620119288
36,10,u,0.000583536367608994
10,37,u,0.00110152548187052
12,11,u,0.00468145021922561
11,35,u,0.000674861863618759
11,37,u,0.000631541144296399
11,56,u,0.00412792121258798
11,57,u,0.00394696937446382
13,12,u,0.0165232857616266
12,14,u,0.00773864241078481
36,12,u,0.000585375683260558
12,37,u,0.00109968616621901
38,12,u,7.54234111643104e-05
12,58,u,0.00368269921633724
13,15,u,0.0211558266430734
33,13,u,0.00127781235469122
13,36,u,0.00106695289290211
13,38,u,0.0015769051649984
13,39,u,6.87502818957242e-05
15,14,u,0.0031061015293381
38,14,u,0.000849287652242792
14,40,u,0.000638321327579217
14,58,u,0.00290883497525876
14,59,u,0.00459114156798877
14,60,u,0.00355573372153892
15,16,u,0.00839574393478593
15,17,u,0.010532849279262
39,15,u,0.00204683238241161
15,40,u,0.000948931480513027
15,41,u,0.000219032801586083
16,17,u,0.00213710534447609
16,18,u,0.00645371188552657
16,40,u,0.000109357087034434
41,16,u,0.000620541591892509
16,43,u,0.000316111209641523
17,18,u,0.00431660654105048
40,17,u,0.000104353447413175
17,42,u,0.00138041424856086
17,43,u,0.000102400675193914
17,60,u,0.00281305894654653
17,61,u,0.00416182765979927
18,42,u,0.000948753594455809
43,18,u,0.000329259978911134
18,62,u,0.00443394404425717
18,63,u,0.00571688076677601
27,19,u,0.00466664750588905
27,19,j,0.0112581130244898
19,0,u,0.0244009197376065
19,0,j,0.0112581145175704
21,20,u,0.000181208617130959
20,21,j,0.000266406104930248
20,24,u,0.000729398030666334
24,20,j,0.000266397807930602
22,21,u,9.79705802174865e-05
21,22,j,0.00026641895572634
23,22,u,2.70456449207142e-05
22,23,j,0.000680245357931188
22,25,u,0.000590821022920325
25,22,j,0.000413902355484215
23,26,u,0.000570380183160573
26,23,j,0.000332501820507917
23,28,u,0.00228855966853145
23,28,j,0.00101281071661176
25,24,u,0.000417756205094455
24,25,j,0.000385865919861375
24,44,u,0.00168376354409925
44,24,j,0.000424605265686017
24,45,u,0.00129831944959177
45,24,j,0.000227716766052861
26,25,u,4.74864846804657e-05
25,26,j,0.000762774029474312
25,45,u,0.00171607565468622
45,25,j,0.000614146035772189
25,46,u,0.0015370214974954
46,25,j,0.000176437635363397
26,28,u,0.00171817948537088
26,28,j,0.00134717734583738
26,46,u,0.00158450798217587
46,26,j,0.000940832553292501
26,47,u,0.00229575577066458
26,47,j,2.37096405758625e-05
29,27,u,0.00183862890203974
29,27,j,0.00592763684975553
27,33,u,0.000790703826768539
33,27,j,0.00369251346923174
27,39,u,0.00269753133285386
39,27,j,0.00163797230495467
28,29,u,0.0041892457860371
28,29,j,0.0032264674748637
28,47,u,0.000577576285293702
47,28,j,0.00132773159770896
28,48,u,0.00442876603659143
28,48,j,0.00046129486479816
29,30,u,0.000983228074418142
29,30,j,8.13405155280989e-05
29,48,u,0.000239520250554329
48,29,j,0.00278248841461874
30,31,u,0.00172327682320325
30,31,j,8.13356062253322e-05
33,31,u,7.71721688131182e-05
31,33,j,0.00209625889187371
31,50,u,0.00116760855083232
50,31,j,0.00119834271742481
31,51,u,0.00174284464478858
51,31,j,0.000816577866767531
32,35,u,0.000797965136048402
32,35,j,0.000611825659342791
32,52,u,0.00135843194098532
52,32,j,0.000372352551633565
32,53,u,0.00240053350361106
53,32,j,0.000239472938228397
33,34,u,0.000773706765872768
34,33,j,0.000887442210960969
33,36,u,0.0012230216085918
36,33,j,0.000708809297654549
34,35,u,0.00108473006537525
35,34,j,0.000887442813472784
35,37,u,9.15388549870996e-05
35,37,j,0.000248639268241038
35,55,u,0.00222336303379563
55,35,j,0.000371374078859406
35,56,u,0.00222445454624364
56,35,j,0.000152882493709544
36,37,u,0.00072695407764332
37,36,j,0.000819367817923331
36,38,u,0.00039410837298119
36,38,j,0.000110557578653328
37,57,u,0.00206545724096582
57,37,j,0.000293194433262699
37,58,u,0.00158578848405169
58,37,j,0.000277533597320119
38,40,u,0.00104630247457292
38,40,j,0.000110557389825744
39,41,u,0.00071944923233786
41,39,j,0.00163797016068639
41,40,u,3.71557177227315e-05
40,41,j,0.000927868298049522
40,42,u,0.000857294643406613
42,40,j,0.000273566195692028
40,43,u,0.000243629006586209
40,43,j,0.000218091548140035
40,60,u,0.00157479099001662
60,40,j,0.000761834566290169
41,43,u,0.00028078472430894
43,41,j,0.000710102855837887
43,42,u,0.000613665636820404
42,43,j,0.000492011336428939
42,61,u,0.00168597001461319
61,42,j,0.00034175403563315
42,62,u,0.00211415810863076
62,42,j,0.000423824273043088
45,44,u,0.000385444094507483
44,45,j,0.000197124238903862
44,64,u,0.00332910319492299
64,44,j,0.000621699014018262
44,-244,u,0.00341106789902356
46,45,u,0.000179054157190821
45,46,j,0.000438604264632509
45,65,u,0.00333479941306835
65,45,j,0.00108341926804136
45,-245,u,0.00342190190853417
46,47,u,0.000711247788488712
46,47,j,0.00096760609159381
46,66,u,0.00333744553361801
66,46,j,0.00164629754988764
46,-246,u,0.00343071449308411
47,48,u,0.00385118975129773
47,48,j,0.00179758287749431
47,67,u,0.00332693448255655
67,47,j,0.00213387205199536
47,-247,u,0.00342525647787997
48,49,u,0.00280562018235096
48,49,j,0.000790578839422278
48,68,u,0.00327002034830096
68,48,j,0.00131428077747462
48,-248,u,0.00335816738911083
49,50,u,0.000828973015548431
49,50,j,0.000978713027706097
49,69,u,0.00322855798107409
69,49,j,0.000188110946327803
49,-249,u,0.00330355044839041
50,51,u,0.000575236093956253
50,51,j,0.000383345662392107
50,70,u,0.00321630714833199
70,50,j,0.000602983532315889
50,-250,u,0.00329552506619886
51,52,u,0.000598886822583244
51,52,j,0.000160825960470785
51,71,u,0.00320780612231299
71,51,j,0.000594056359632196
51,-251,u,0.00328673544676605
52,53,u,0.00104210156262575
52,53,j,0.000133667708980725
52,72,u,0.00319895557813689
72,52,j,0.000345194923301308
52,-252,u,0.00327498481369652
53,54,u,0.000874005856277819
54,53,j,0.00010580512569506
53,73,u,0.00318102973761686
53,-253,u,0.00325293130554376
55,54,u,0.000253211190044849
54,55,j,0.000590544861777064
54,74,u,0.00315308166451083
74,54,j,0.000696350036271428
54,-254,u,0.00323204267366422
55,56,u,1.09151244801273e-06
55,56,j,0.00021917081712258
55,75,u,0.00317249362056436
55,-255,u,0.00324419683123437
57,56,u,6.74584502907255e-05
56,57,j,0.000109405545967817
56,76,u,0.00317436462629484
76,56,j,4.31171774495239e-05
56,-256,u,0.00324656109527553
58,57,u,0.00047966875691413
57,58,j,1.55122271467953e-05
57,77,u,0.00317536154920559
77,57,j,0.00019930122136776
57,-257,u,0.00324927537284745
58,59,u,0.00125494206813935
58,59,j,0.000281709121020006
58,78,u,0.00318245025004668
78,58,j,0.000543730734556582
58,-258,u,0.00326026160054753
60,59,u,0.00055248279226362
59,60,j,0.000281709324125549
59,79,u,0.00316353942673435
59,-259,u,0.00323502700165738
60,61,u,0.000968473668003184
60,61,j,0.000147631032290779
60,80,u,0.00317206907848195
80,60,j,0.00062775708798423
60,-260,u,0.00325055811935332
61,62,u,0.000428188094017569
62,61,j,8.20617635987926e-05
61,81,u,0.00315775665974305
81,61,j,0.000112060806801879
61,-261,u,0.00323032658865502
62,63,u,0.000607922665302896
63,62,j,0.000505885952426685
62,82,u,0.00314859764852624
62,-262,u,0.00321976993307636
63,83,u,0.00312427754983991
83,63,j,0.000505885976619158
63,-263,u,0.003200525882239
64,-244,u,0.00332910319492299
65,-245,u,0.00333479941306835
66,-246,u,0.00333744553361801
67,-247,u,0.00332693448255655
68,-248,u,0.00327002034830096
69,-249,u,0.00322855798107409
70,-250,u,0.00321630714833199
71,-251,u,0.00320780612231299
72,-252,u,0.00319895557813689
73,-253,u,0.00318102973761686
74,-254,u,0.00315308166451083
75,-255,u,0.00317249362056436
76,-256,u,0.00317436462629484
77,-257,u,0.00317536154920559
78,-258,u,0.00318245025004668
79,-259,u,0.00316353942673435
80,-260,u,0.00317206907848195
81,-261,u,0.00315775665974305
82,-262,u,0.00314859764852624
83,-263,u,0.00312427754983991
