Id,Label,P,C,S,Pi,Psi
-1,bx,0,0,0,0,0
0,bp,0.217391304347826,0,0,0,0.217391304347826
1,ax,-0.683728365012972,0,0,0,-0.683728365012972
2,tt,-0.728150878472854,0,0,0,-0.728150878472854
3,tt,-0.734484440207758,0,0,0,-0.734484440207758
4,tt,-0.733393332867782,0,0,0,-0.733393332867782
5,tt,-0.716271903982934,0,0,0,-0.716271903982934
6,tt,-0.768594959306571,0,0,0,-0.768594959306571
7,tt,-0.798820549769152,0,0,0,-0.798820549769152
8,tt,-0.826088024726277,0,0,0,-0.826088024726277
9,tt,-0.850447318692669,0,0,0,-0.850447318692669
10,tt,-0.870168969304278,0,0,0,-0.870168969304278
11,tt,-0.879882199132695,0,0,0,-0.879882199132695
12,tt,-0.880724869783948,0,0,0,-0.880724869783948
13,tt,-0.870159194412245,0,0,0,-0.870159194412245
14,tt,-0.822912435778809,0,0,0,-0.822912435778809
15,tt,-0.903976573303992,0,0,0,-0.903976573303992
16,tt,-0.919724142429411,0,0,0,-0.919724142429411
17,tt,-0.940203394746325,0,0,0,-0.940203394746325
18,tt,-0.922055277087809,0,0,0,-0.922055277087809
19,tt,-0.950219194328972,0,0,0,-0.950219194328972
20,tt,-0.95987925791082,0,0,0,-0.95987925791082
21,tt,-0.965389711484669,0,0,0,-0.965389711484669
22,tt,-0.967111941824054,0,0,0,-0.967111941824054
23,tt,-0.964028867918818,0,0,0,-0.964028867918818
24,ap,1.51097115984269,0.915420157664679,0,2.38805495336435,-0.877083793521658
25,tp,1.61146547463137,0.986632062380193,3.30349384187364,2.57382532380084,-0.962359849169469
26,tp,1.61020525964272,0.987467178778775,3.30536578140888,2.57600389047929,-0.965798630836566
27,tp,1.61439470730199,0.985142761188466,3.30015291911698,2.56994018640445,-0.955545479102451
28,tp,1.60992412934817,0.987691021217281,3.30586735398467,2.57658782785446,-0.966663698506298
29,tp,1.60745641284307,0.988774794153756,3.308294745796,2.57941506440546,-0.971958651562397
30,tp,1.62106155875238,0.980561857128375,3.28985576412914,2.55798999004926,-0.936928431296877
31,tp,1.61226910467965,0.98670290222538,3.30365267497073,2.57401012358024,-0.961741018900585
32,tp,1.62721681969874,0.976544454538656,3.28079912665405,2.54750979898758,-0.920292979288844
33,tp,1.62326567468,0.979349508427657,3.28712527410527,2.55482733812849,-0.93156166344849
34,tp,1.62220041263392,0.97560468062772,3.27867719249244,2.54505821244094,-0.922857799807026
35,tp,1.57633173355133,0.938433062801172,3.19365144939171,2.4480886784712,-0.87175694491987
36,tp,1.65426841763845,0.972680153758651,3.27206573391913,2.53742900434731,-0.883160586708862
37,tp,1.65851967172107,0.978451900716687,3.28510215937752,2.55248575047345,-0.893966078752383
38,tp,1.66696813991139,0.97591506998394,3.27937825362303,2.54586792460796,-0.87889978469657
39,tp,1.67323261315409,0.978501492958346,3.28521530465581,2.55261512166694,-0.879382508512845
40,tp,1.68465894038203,0.972940462518882,3.27265082616603,2.53810807135176,-0.853449130969729
41,tp,1.68534059805008,0.976398919217884,3.28047093817371,2.54713014125256,-0.861789543202478
42,tp,1.70057379220362,0.97047715882532,3.26707543697148,2.53168205534392,-0.831108263140301
43,tp,1.71375110242135,0.96906278293104,3.26386820295882,2.52799237543904,-0.814241273017688
44,tp,1.75803206583766,0.968798649324702,3.2632683103041,2.52730333056529,-0.769271264727633
45,tp,1.77278983359687,0.962676283235122,3.24934687018508,2.51133192492809,-0.73854209133122
46,tp,1.74926942514789,0.966420641949604,3.25786771568481,2.52109982691324,-0.771830401765345
47,tp,1.78364899621523,0.963347160982383,3.25087513180795,2.51308204252605,-0.729433046310822
48,tp,1.7914792684265,0.970002368489384,3.26599863647793,2.53044347063061,-0.738964202204112
49,tp,1.78907655957483,0.966095753500829,3.25712935158813,2.520252290989,-0.731175731414174
50,tp,1.62346916985571,0.967677751408685,3.26072324794571,2.52437924614553,-0.900910076289827
51,bs,1.58935526948225,0.99671236299729,3.32601945720352,2.60012178627057,-1.01076651678832
52,bs,1.59405725627279,0.994522441741843,3.32113871797761,2.59440894254765,-1.00035168627485
53,bs,1.59894458067037,0.992034294910386,3.31558462766169,2.58791811828973,-0.988973537619358
54,bs,1.60881648914178,0.985913933021063,3.30188333315936,2.57195194100621,-0.963135451864425
55,bs,1.60577536215216,0.984902128901862,3.299612684378,2.5693124493821,-0.963537087229945
56,bs,1.61032506250844,0.981887751448069,3.29283972423782,2.56144884822632,-0.951123785717883
57,bs,1.62653733446814,0.980167676068742,3.28896786643956,2.5569616906131,-0.930424356144962
58,bs,1.63701984870036,0.984504671647885,3.29872058247054,2.56827560334352,-0.931255754643163
59,bs,1.64424614964127,0.985625205681783,3.30123562549606,2.57119873850464,-0.926952588863367
60,bs,1.6590743897341,0.98439465061276,3.29847309672993,2.56798859166293,-0.908914201928828
61,bs,1.66140378286743,0.986305827520205,3.30276206040454,2.57297427549604,-0.911570492628614
62,bs,1.67993338669762,0.984860718993777,3.29951979923371,2.5692044234278,-0.889271036730176
63,bs,1.70516870853207,0.985612115030593,3.30120618102398,2.57116458894593,-0.865995880413863
64,bs,1.74570823938773,0.979779625891038,3.28809423197847,2.55594938479783,-0.810241145410094
65,bs,1.7736985638665,0.978833356573446,3.28596212986624,2.55348085369528,-0.779782289828781
66,bs,1.78306865306921,0.978094469929208,3.2842963160378,2.55155332140754,-0.768484668338334
